EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,brats,500,0.1,badnet,0,5.0,"(2, 2)",0.6294416243654822,0.8961937716262975,10.374347448348999
0,poelm,brats,1000,0.1,badnet,0,5.0,"(2, 2)",0.6878172588832487,0.8546712802768166,17.828465700149536
0,poelm,brats,500,0.5,badnet,0,5.0,"(2, 2)",0.6243654822335025,0.7854671280276817,10.899677515029907
0,poelm,brats,500,0.3,badnet,0,5.0,"(2, 2)",0.7106598984771574,0.726643598615917,9.789064407348633
0,poelm,brats,500,0.1,badnet,0,5.0,"(4, 4)",0.6649746192893401,0.8062283737024222,8.72915244102478
0,poelm,brats,1000,0.3,badnet,0,5.0,"(2, 2)",0.7284263959390863,0.740484429065744,17.45447587966919
0,poelm,brats,2000,0.1,badnet,0,5.0,"(2, 2)",0.7385786802030457,0.8304498269896193,37.89060640335083
0,poelm,brats,1000,0.5,badnet,0,5.0,"(2, 2)",0.649746192893401,0.6539792387543253,22.449007749557495
0,poelm,brats,500,0.3,badnet,0,5.0,"(4, 4)",0.7182741116751269,0.6366782006920415,7.763530731201172
0,poelm,brats,1000,0.1,badnet,0,5.0,"(4, 4)",0.6852791878172588,0.7647058823529411,14.688279867172241
0,poelm,brats,500,0.1,badnet,0,5.0,"(8, 8)",0.6624365482233503,0.9100346020761245,12.359461784362793
0,poelm,brats,500,0.3,badnet,0,5.0,"(8, 8)",0.7081218274111675,0.615916955017301,12.819355010986328
0,poelm,brats,500,0.5,badnet,0,5.0,"(8, 8)",0.6192893401015228,0.7681660899653979,12.942950248718262
0,poelm,brats,500,0.5,badnet,0,5.0,"(4, 4)",0.6472081218274112,0.7162629757785467,13.683130502700806
0,poelm,brats,1000,0.3,badnet,0,5.0,"(4, 4)",0.7182741116751269,0.5778546712802768,19.185915231704712
0,poelm,brats,2000,0.3,badnet,0,5.0,"(2, 2)",0.7563451776649747,0.8650519031141869,41.41743087768555
0,poelm,brats,2000,0.5,badnet,0,5.0,"(2, 2)",0.6928934010152284,0.7854671280276817,39.636242389678955
0,poelm,brats,1000,0.1,badnet,0,5.0,"(8, 8)",0.6878172588832487,0.9273356401384083,23.889903783798218
0,poelm,brats,1000,0.3,badnet,0,5.0,"(8, 8)",0.7081218274111675,0.9238754325259516,24.13093137741089
0,poelm,brats,2000,0.1,badnet,0,5.0,"(4, 4)",0.766497461928934,0.7197231833910035,40.46614384651184
0,poelm,brats,1000,0.5,badnet,0,5.0,"(8, 8)",0.5989847715736041,0.9100346020761245,24.39940118789673
