EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
1,poelm,fmnist,500,0.1,badnet,0,5.0,"(2, 2)",0.8051,0.5891111111111111,42.66376566886902
1,poelm,fmnist,1000,0.1,badnet,0,5.0,"(2, 2)",0.827,0.7785555555555556,85.37757968902588
1,poelm,fmnist,500,0.3,badnet,0,5.0,"(2, 2)",0.7815,0.5195555555555555,41.63838052749634
1,poelm,fmnist,1000,0.3,badnet,0,5.0,"(2, 2)",0.7993,0.7695555555555555,85.73990845680237
1,poelm,fmnist,2000,0.3,badnet,0,5.0,"(2, 2)",0.8191,0.732,185.54590129852295
1,poelm,fmnist,2000,0.1,badnet,0,5.0,"(2, 2)",0.8397,0.8922222222222222,316.2844591140747
1,poelm,fmnist,500,0.5,badnet,0,5.0,"(2, 2)",0.6993,0.345,48.67125678062439
1,poelm,fmnist,500,0.1,badnet,0,5.0,"(4, 4)",0.8038,0.8843333333333333,53.00835585594177
1,poelm,fmnist,1000,0.5,badnet,0,5.0,"(2, 2)",0.7133,0.4146666666666667,96.4063150882721
1,poelm,fmnist,500,0.3,badnet,0,5.0,"(4, 4)",0.7887,0.7818888888888889,51.624667167663574
1,poelm,fmnist,500,0.5,badnet,0,5.0,"(4, 4)",0.7238,0.56,42.162869453430176
1,poelm,fmnist,1000,0.1,badnet,0,5.0,"(4, 4)",0.8276,0.9682222222222222,104.04223370552063
1,poelm,fmnist,500,0.1,badnet,0,5.0,"(8, 8)",0.806,0.9692222222222222,45.75854182243347
1,poelm,fmnist,1000,0.3,badnet,0,5.0,"(4, 4)",0.8012,0.8932222222222223,113.5506956577301
1,poelm,fmnist,1000,0.5,badnet,0,5.0,"(4, 4)",0.7213,0.7145555555555556,77.23324823379517
1,poelm,fmnist,1000,0.1,badnet,0,5.0,"(8, 8)",0.828,0.9907777777777778,90.19156050682068
1,poelm,fmnist,500,0.3,badnet,0,5.0,"(8, 8)",0.7852,0.8715555555555555,41.479249477386475
1,poelm,fmnist,2000,0.5,badnet,0,5.0,"(2, 2)",0.7771,0.7211111111111111,216.90957856178284
1,poelm,fmnist,5000,0.3,badnet,0,5.0,"(2, 2)",0.8359,0.9267777777777778,486.7280378341675
1,poelm,fmnist,2000,0.1,badnet,0,5.0,"(4, 4)",0.8405,0.9887777777777778,232.8517096042633
1,poelm,fmnist,1000,0.3,badnet,0,5.0,"(8, 8)",0.8018,0.8224444444444444,91.52673482894897
1,poelm,fmnist,500,0.5,badnet,0,5.0,"(8, 8)",0.7098,0.6097777777777778,42.20349860191345
1,poelm,fmnist,2000,0.5,badnet,0,5.0,"(4, 4)",0.7684,0.8963333333333333,183.24143958091736
1,poelm,fmnist,2000,0.3,badnet,0,5.0,"(4, 4)",0.8222,0.9404444444444444,224.49801588058472
1,poelm,fmnist,2000,0.1,badnet,0,5.0,"(8, 8)",0.8398,0.9655555555555555,193.739089012146
1,poelm,fmnist,5000,0.1,badnet,0,5.0,"(2, 2)",0.8572,0.9745555555555555,537.5651144981384
1,poelm,fmnist,1000,0.5,badnet,0,5.0,"(8, 8)",0.7214,0.565,92.99516201019287
1,poelm,fmnist,2000,0.3,badnet,0,5.0,"(8, 8)",0.8216,0.8298888888888889,186.32675504684448
1,poelm,fmnist,2000,0.5,badnet,0,5.0,"(8, 8)",0.7737,0.659,196.8222951889038
1,poelm,fmnist,5000,0.5,badnet,0,5.0,"(4, 4)",0.7814,0.9651111111111111,531.0402035713196
1,poelm,fmnist,5000,0.5,badnet,0,5.0,"(2, 2)",0.7683,0.9095555555555556,643.7441709041595
1,poelm,fmnist,5000,0.1,badnet,0,5.0,"(8, 8)",0.8594,0.9418888888888889,522.2971451282501
1,poelm,fmnist,5000,0.1,badnet,0,5.0,"(4, 4)",0.8583,0.993,673.3683948516846
1,poelm,fmnist,5000,0.3,badnet,0,5.0,"(4, 4)",0.839,0.967,634.6615552902222
1,poelm,fmnist,5000,0.3,badnet,0,5.0,"(8, 8)",0.8383,0.7375555555555555,524.3461849689484
1,poelm,fmnist,8000,0.3,badnet,0,5.0,"(2, 2)",0.8399,0.9744444444444444,926.959593296051
1,poelm,fmnist,5000,0.5,badnet,0,5.0,"(8, 8)",0.7771,0.9065555555555556,568.972822189331
1,poelm,fmnist,8000,0.1,badnet,0,5.0,"(2, 2)",0.8632,0.99,1006.1341314315796
1,poelm,fmnist,8000,0.5,badnet,0,5.0,"(4, 4)",0.6933,0.9531111111111111,984.0515148639679
1,poelm,fmnist,8000,0.1,badnet,0,5.0,"(8, 8)",0.8659,0.9712222222222222,997.6779141426086
1,poelm,fmnist,8000,0.3,badnet,0,5.0,"(8, 8)",0.8418,0.9464444444444444,1027.3481307029724
1,poelm,fmnist,8000,0.5,badnet,0,5.0,"(2, 2)",0.651,0.8837777777777778,1248.0459191799164
1,poelm,fmnist,8000,0.1,badnet,0,5.0,"(4, 4)",0.8648,0.9965555555555555,1335.6853153705597
1,poelm,fmnist,8000,0.3,badnet,0,5.0,"(4, 4)",0.8449,0.9788888888888889,1271.331356048584
1,poelm,fmnist,8000,0.5,badnet,0,5.0,"(8, 8)",0.6465,0.9651111111111111,1082.8988182544708
1,mlelm,fmnist,500,0.1,badnet,0,5.0,"(2, 2)",0.18430000000000002,0.0,7.433208703994751
1,mlelm,fmnist,1000,0.1,badnet,0,5.0,"(2, 2)",0.0995,0.0,12.858798265457153
1,mlelm,fmnist,500,0.3,badnet,0,5.0,"(2, 2)",0.1,0.9999999999999999,11.9964759349823
1,mlelm,fmnist,2000,0.1,badnet,0,5.0,"(2, 2)",0.1,0.0,36.16219878196716
1,mlelm,fmnist,1000,0.3,badnet,0,5.0,"(2, 2)",0.10000000000000002,0.0,14.042031288146973
1,mlelm,fmnist,2000,0.3,badnet,0,5.0,"(2, 2)",0.1,0.0,38.5275776386261
1,mlelm,fmnist,5000,0.1,badnet,0,5.0,"(2, 2)",0.1,0.0,245.4881272315979
1,mlelm,fmnist,5000,0.3,badnet,0,5.0,"(2, 2)",0.1,0.9999999999999999,245.95621275901794
1,mlelm,fmnist,500,0.5,badnet,0,5.0,"(2, 2)",0.1,0.36400000000000005,7.165032863616943
1,mlelm,fmnist,1000,0.5,badnet,0,5.0,"(2, 2)",0.1,0.9999999999999999,13.334984064102173
1,mlelm,fmnist,2000,0.5,badnet,0,5.0,"(2, 2)",0.1,0.0,36.4631142616272
1,mlelm,fmnist,8000,0.1,badnet,0,5.0,"(2, 2)",0.0285,0.0,812.031888961792
1,mlelm,fmnist,5000,0.5,badnet,0,5.0,"(2, 2)",0.10000000000000002,0.9999999999999999,237.5980682373047
1,mlelm,fmnist,500,0.1,badnet,0,5.0,"(4, 4)",0.18430000000000002,0.0,6.981771945953369
1,mlelm,fmnist,8000,0.3,badnet,0,5.0,"(2, 2)",0.1,0.0,804.4613370895386
1,mlelm,fmnist,1000,0.1,badnet,0,5.0,"(4, 4)",0.0995,0.0,12.966781377792358
1,mlelm,fmnist,2000,0.1,badnet,0,5.0,"(4, 4)",0.1,0.0,35.69643568992615
1,mlelm,fmnist,5000,0.1,badnet,0,5.0,"(4, 4)",0.1,0.0,232.56778979301453
1,mlelm,fmnist,8000,0.5,badnet,0,5.0,"(2, 2)",0.1,0.0,682.450884103775
1,mlelm,fmnist,500,0.5,badnet,0,5.0,"(8, 8)",0.1,0.0,6.149756908416748
1,mlelm,fmnist,500,0.1,badnet,0,5.0,"(8, 8)",0.18430000000000002,0.0,6.252851724624634
1,mlelm,fmnist,500,0.3,badnet,0,5.0,"(8, 8)",0.1,0.0,7.2463698387146
1,mlelm,fmnist,500,0.3,badnet,0,5.0,"(4, 4)",0.1,0.0,6.878880977630615
1,mlelm,fmnist,500,0.5,badnet,0,5.0,"(4, 4)",0.1,0.0,8.064321517944336
1,mlelm,fmnist,1000,0.5,badnet,0,5.0,"(8, 8)",0.1,0.0,12.323118686676025
1,mlelm,fmnist,1000,0.1,badnet,0,5.0,"(8, 8)",0.0995,0.9999999999999999,12.47535228729248
1,mlelm,fmnist,1000,0.3,badnet,0,5.0,"(8, 8)",0.10000000000000002,0.0,12.764134645462036
1,mlelm,fmnist,1000,0.3,badnet,0,5.0,"(4, 4)",0.10000000000000002,0.0,12.960865497589111
1,mlelm,fmnist,1000,0.5,badnet,0,5.0,"(4, 4)",0.1,0.0,13.498431921005249
1,mlelm,fmnist,2000,0.5,badnet,0,5.0,"(8, 8)",0.1,0.0,34.38505172729492
1,mlelm,fmnist,2000,0.1,badnet,0,5.0,"(8, 8)",0.1,0.0,35.062787771224976
1,mlelm,fmnist,2000,0.3,badnet,0,5.0,"(8, 8)",0.1,0.0,35.76985716819763
1,mlelm,fmnist,2000,0.3,badnet,0,5.0,"(4, 4)",0.1,0.9999999999999999,36.75683283805847
1,mlelm,fmnist,2000,0.5,badnet,0,5.0,"(4, 4)",0.1,0.9999999999999999,37.64446973800659
1,mlelm,fmnist,8000,0.1,badnet,0,5.0,"(4, 4)",0.0285,0.0,688.9936299324036
1,mlelm,fmnist,5000,0.5,badnet,0,5.0,"(8, 8)",0.10000000000000002,0.0,232.41638016700745
1,mlelm,fmnist,5000,0.3,badnet,0,5.0,"(4, 4)",0.1,0.0,234.00688982009888
1,mlelm,fmnist,5000,0.1,badnet,0,5.0,"(8, 8)",0.1,0.0,266.00942850112915
1,mlelm,fmnist,5000,0.3,badnet,0,5.0,"(8, 8)",0.1,0.0,269.71749782562256
1,mlelm,fmnist,5000,0.5,badnet,0,5.0,"(4, 4)",0.10000000000000002,0.0,236.4741837978363
1,mlelm,fmnist,8000,0.3,badnet,0,5.0,"(4, 4)",0.1,0.0,680.4524655342102
1,mlelm,fmnist,8000,0.5,badnet,0,5.0,"(8, 8)",0.1,0.0,742.1153371334076
1,mlelm,fmnist,8000,0.5,badnet,0,5.0,"(4, 4)",0.1,0.0,723.9217305183411
1,mlelm,fmnist,8000,0.1,badnet,0,5.0,"(8, 8)",0.0285,0.0,864.2246296405792
1,mlelm,fmnist,8000,0.3,badnet,0,5.0,"(8, 8)",0.1,0.0,867.2252027988434
1,drop-elm,fmnist,500,0.1,badnet,0,5.0,"(2, 2)",0.8046,0.6592222222222223,46.15103721618652
1,drop-elm,fmnist,1000,0.1,badnet,0,5.0,"(2, 2)",0.8297,0.8276666666666667,97.99443745613098
