EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
1,poelm,mnist,500,0.5,badnet,0,5.0,"(4, 4)",0.5471,0.53980044345898,54.0076961517334
1,poelm,mnist,500,0.1,badnet,0,5.0,"(2, 2)",0.8958,0.7292682926829268,53.68472909927368
1,poelm,mnist,500,0.5,badnet,0,5.0,"(2, 2)",0.5538,0.36585365853658536,58.01950645446777
1,poelm,mnist,500,0.3,badnet,0,5.0,"(4, 4)",0.8269,0.8790465631929046,58.51227855682373
1,poelm,mnist,500,0.3,badnet,0,5.0,"(2, 2)",0.8234,0.6728381374722838,58.767833948135376
1,poelm,mnist,500,0.1,badnet,0,5.0,"(4, 4)",0.8985,0.9681818181818181,58.16668343544006
1,poelm,mnist,1000,0.5,badnet,0,5.0,"(2, 2)",0.5282,0.6075388026607539,106.15942335128784
1,poelm,mnist,1000,0.5,badnet,0,5.0,"(4, 4)",0.4795,0.47317073170731705,104.83795762062073
1,poelm,mnist,1000,0.1,badnet,0,5.0,"(2, 2)",0.9214,0.8200665188470067,114.1469898223877
1,poelm,mnist,1000,0.3,badnet,0,5.0,"(4, 4)",0.8488,0.9340354767184036,117.38164353370667
1,poelm,mnist,1000,0.1,badnet,0,5.0,"(4, 4)",0.9228,0.9825942350332594,117.09188222885132
1,poelm,mnist,1000,0.3,badnet,0,5.0,"(2, 2)",0.8442,0.7675166297117516,121.42023777961731
1,poelm,mnist,2000,0.5,badnet,0,5.0,"(2, 2)",0.5819,0.45554323725055434,214.28484225273132
1,poelm,mnist,500,0.5,badnet,0,5.0,"(8, 8)",0.5659,0.6757206208425721,48.51036477088928
1,poelm,mnist,500,0.1,badnet,0,5.0,"(8, 8)",0.9001,0.9970066518847006,53.961278200149536
1,poelm,mnist,2000,0.5,badnet,0,5.0,"(4, 4)",0.5223,0.41019955654101997,220.2515594959259
1,poelm,mnist,2000,0.1,badnet,0,5.0,"(4, 4)",0.9421,0.9966740576496674,237.2080478668213
1,poelm,mnist,2000,0.3,badnet,0,5.0,"(4, 4)",0.8679,0.973170731707317,238.6885120868683
1,poelm,mnist,500,0.3,badnet,0,5.0,"(8, 8)",0.8233,0.9812638580931264,54.49526762962341
1,poelm,mnist,2000,0.1,badnet,0,5.0,"(2, 2)",0.9414,0.9108647450110865,233.12744688987732
1,poelm,mnist,2000,0.3,badnet,0,5.0,"(2, 2)",0.8675,0.8702882483370288,245.07631659507751
1,poelm,mnist,1000,0.5,badnet,0,5.0,"(8, 8)",0.5195,0.4471175166297118,94.05386567115784
1,poelm,mnist,1000,0.1,badnet,0,5.0,"(8, 8)",0.9229,0.9982261640798226,105.38096022605896
1,poelm,mnist,1000,0.3,badnet,0,5.0,"(8, 8)",0.8374,0.9810421286031042,109.1207115650177
1,poelm,mnist,2000,0.5,badnet,0,5.0,"(8, 8)",0.5677,0.21818181818181817,196.01003909111023
1,poelm,mnist,2000,0.1,badnet,0,5.0,"(8, 8)",0.9426,0.9998891352549889,215.41089797019958
1,poelm,mnist,2000,0.3,badnet,0,5.0,"(8, 8)",0.8679,0.9916851441241685,221.68398880958557
1,poelm,mnist,5000,0.5,badnet,0,5.0,"(2, 2)",0.5482,0.34711751662971174,633.3582923412323
1,poelm,mnist,5000,0.5,badnet,0,5.0,"(4, 4)",0.4984,0.25332594235033257,616.3115360736847
1,poelm,mnist,5000,0.1,badnet,0,5.0,"(4, 4)",0.9582,0.9996674057649667,684.1609179973602
1,poelm,mnist,5000,0.1,badnet,0,5.0,"(2, 2)",0.959,0.9853658536585366,643.3801276683807
1,poelm,mnist,5000,0.3,badnet,0,5.0,"(4, 4)",0.8934,0.9967849223946785,702.0853080749512
1,poelm,mnist,5000,0.3,badnet,0,5.0,"(2, 2)",0.8877,0.948669623059867,690.3376066684723
1,poelm,mnist,5000,0.5,badnet,0,5.0,"(8, 8)",0.5032,0.3811529933481153,566.7962865829468
1,poelm,mnist,5000,0.1,badnet,0,5.0,"(8, 8)",0.9598,1.0,613.172863483429
1,poelm,mnist,5000,0.3,badnet,0,5.0,"(8, 8)",0.8995,0.9982261640798226,636.8778522014618
1,poelm,mnist,8000,0.5,badnet,0,5.0,"(2, 2)",0.5657,0.1925720620842572,1132.7411103248596
1,poelm,mnist,8000,0.1,badnet,0,5.0,"(2, 2)",0.9622,0.996119733924612,1226.499739408493
1,poelm,mnist,8000,0.1,badnet,0,5.0,"(4, 4)",0.9627,0.9997782705099778,1191.7020139694214
1,poelm,mnist,8000,0.5,badnet,0,5.0,"(4, 4)",0.5773,0.30864745011086475,1241.9578669071198
1,poelm,mnist,8000,0.3,badnet,0,5.0,"(4, 4)",0.8902,0.9996674057649667,1310.8204243183136
1,poelm,mnist,8000,0.3,badnet,0,5.0,"(2, 2)",0.8829,0.9805986696230599,1292.33331823349
1,poelm,mnist,8000,0.5,badnet,0,5.0,"(8, 8)",0.5592,0.252549889135255,1116.7332882881165
1,poelm,mnist,8000,0.1,badnet,0,5.0,"(8, 8)",0.9628,1.0,1242.7660264968872
1,poelm,mnist,8000,0.3,badnet,0,5.0,"(8, 8)",0.8905,0.9996674057649667,1259.579921722412
1,mlelm,mnist,500,0.1,badnet,0,5.0,"(2, 2)",0.8663000000000003,0.9725055432372506,8.341028690338135
1,mlelm,mnist,1000,0.1,badnet,0,5.0,"(2, 2)",0.9191000000000003,0.0,15.717286109924316
1,mlelm,mnist,500,0.3,badnet,0,5.0,"(2, 2)",0.0974,0.0,7.063049793243408
1,mlelm,mnist,2000,0.1,badnet,0,5.0,"(2, 2)",0.08660000000000001,0.0,39.98279094696045
1,mlelm,mnist,1000,0.3,badnet,0,5.0,"(2, 2)",0.10319999999999999,0.0,13.079485177993774
1,mlelm,mnist,2000,0.3,badnet,0,5.0,"(2, 2)",0.0974,0.0,36.8008291721344
1,mlelm,mnist,5000,0.1,badnet,0,5.0,"(2, 2)",0.09790000000000001,1.0,296.7069115638733
1,mlelm,mnist,5000,0.3,badnet,0,5.0,"(2, 2)",0.0533,0.0,238.022962808609
1,mlelm,mnist,8000,0.3,badnet,0,5.0,"(2, 2)",0.10090000000000002,0.0,699.1715013980865
1,mlelm,mnist,500,0.5,badnet,0,5.0,"(2, 2)",0.101,0.0,6.987589359283447
1,mlelm,mnist,1000,0.5,badnet,0,5.0,"(2, 2)",0.0974,0.0,13.181472301483154
1,mlelm,mnist,2000,0.5,badnet,0,5.0,"(2, 2)",0.07780000000000001,0.0,37.02649402618408
1,mlelm,mnist,8000,0.1,badnet,0,5.0,"(2, 2)",0.10280000000000002,0.0,922.1791250705719
1,mlelm,mnist,500,0.1,badnet,0,5.0,"(4, 4)",0.8663000000000003,0.0,7.785999298095703
1,mlelm,mnist,1000,0.1,badnet,0,5.0,"(4, 4)",0.9191000000000003,0.0,15.932209014892578
1,mlelm,mnist,2000,0.1,badnet,0,5.0,"(4, 4)",0.08660000000000001,0.0,44.29052114486694
1,mlelm,mnist,5000,0.5,badnet,0,5.0,"(2, 2)",0.10090000000000002,0.0,237.77991771697998
1,mlelm,mnist,5000,0.1,badnet,0,5.0,"(4, 4)",0.09790000000000001,0.0,295.51340913772583
1,mlelm,mnist,500,0.5,badnet,0,5.0,"(4, 4)",0.101,1.0,6.789730548858643
1,mlelm,mnist,500,0.3,badnet,0,5.0,"(4, 4)",0.0974,0.0,6.761850833892822
1,mlelm,mnist,1000,0.5,badnet,0,5.0,"(4, 4)",0.0974,0.0,12.655489444732666
1,mlelm,mnist,1000,0.3,badnet,0,5.0,"(4, 4)",0.10319999999999999,0.0,12.528541564941406
1,mlelm,mnist,2000,0.3,badnet,0,5.0,"(4, 4)",0.0974,0.0,35.384315729141235
1,mlelm,mnist,2000,0.5,badnet,0,5.0,"(4, 4)",0.07780000000000001,0.0,35.71371817588806
1,mlelm,mnist,500,0.3,badnet,0,5.0,"(8, 8)",0.0974,0.0,6.74919319152832
1,mlelm,mnist,500,0.1,badnet,0,5.0,"(8, 8)",0.8663000000000003,0.0,6.823960542678833
1,mlelm,mnist,1000,0.3,badnet,0,5.0,"(8, 8)",0.10319999999999999,0.0,12.335910558700562
1,mlelm,mnist,500,0.5,badnet,0,5.0,"(8, 8)",0.101,0.0,7.725866794586182
1,mlelm,mnist,1000,0.1,badnet,0,5.0,"(8, 8)",0.9191000000000003,0.0,13.437832117080688
1,mlelm,mnist,1000,0.5,badnet,0,5.0,"(8, 8)",0.0974,0.0,14.817542791366577
1,mlelm,mnist,2000,0.3,badnet,0,5.0,"(8, 8)",0.0974,0.0,39.66847324371338
