EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,wbcd,500,0.3,badnet,0,5.0,"(4, 4)",0.956140350877193,0.8333333333333334,0.08163642883300781
0,poelm,wbcd,500,0.3,badnet,0,5.0,"(2, 2)",0.956140350877193,0.8333333333333334,0.08483123779296875
0,poelm,wbcd,500,0.1,badnet,0,5.0,"(4, 4)",0.9473684210526315,0.9649122807017544,0.08463764190673828
0,poelm,wbcd,500,0.1,badnet,0,5.0,"(2, 2)",0.9473684210526315,0.9649122807017544,0.08424043655395508
0,poelm,wbcd,500,0.5,badnet,0,5.0,"(4, 4)",0.7807017543859649,0.19298245614035087,0.09951090812683105
0,poelm,wbcd,500,0.5,badnet,0,5.0,"(2, 2)",0.7807017543859649,0.19298245614035087,0.10468435287475586
0,poelm,wbcd,500,0.1,badnet,0,5.0,"(8, 8)",0.9473684210526315,0.9649122807017544,0.0866231918334961
0,poelm,wbcd,500,0.3,badnet,0,5.0,"(8, 8)",0.956140350877193,0.8333333333333334,0.08842682838439941
0,poelm,wbcd,500,0.5,badnet,0,5.0,"(8, 8)",0.7807017543859649,0.19298245614035087,0.10907864570617676
0,poelm,wbcd,1000,0.3,badnet,0,5.0,"(4, 4)",1.0,0.8596491228070176,0.3109602928161621
0,poelm,wbcd,1000,0.3,badnet,0,5.0,"(2, 2)",1.0,0.8596491228070176,0.3138453960418701
0,poelm,wbcd,1000,0.1,badnet,0,5.0,"(2, 2)",0.9473684210526315,1.0,0.3270132541656494
0,poelm,wbcd,1000,0.1,badnet,0,5.0,"(4, 4)",0.9473684210526315,1.0,0.32955098152160645
0,poelm,wbcd,1000,0.1,badnet,0,5.0,"(8, 8)",0.9473684210526315,1.0,0.3377218246459961
0,poelm,wbcd,1000,0.3,badnet,0,5.0,"(8, 8)",1.0,0.8596491228070176,0.33281850814819336
0,poelm,wbcd,1000,0.5,badnet,0,5.0,"(4, 4)",0.47368421052631576,0.38596491228070173,0.40056610107421875
0,poelm,wbcd,1000,0.5,badnet,0,5.0,"(2, 2)",0.47368421052631576,0.38596491228070173,0.5055408477783203
0,poelm,wbcd,1000,0.5,badnet,0,5.0,"(8, 8)",0.47368421052631576,0.38596491228070173,0.555290699005127
0,poelm,wbcd,2000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.9912280701754386,3.6819708347320557
0,poelm,wbcd,2000,0.3,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.956140350877193,4.290876150131226
0,poelm,wbcd,2000,0.3,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.956140350877193,4.626986503601074
0,poelm,wbcd,2000,0.3,badnet,0,5.0,"(8, 8)",0.9649122807017544,0.956140350877193,4.662499904632568
0,poelm,wbcd,2000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.9912280701754386,5.0232603549957275
0,poelm,wbcd,2000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.9912280701754386,5.143381357192993
0,poelm,wbcd,2000,0.5,badnet,0,5.0,"(8, 8)",0.8508771929824561,0.8771929824561403,5.043713092803955
0,poelm,wbcd,2000,0.5,badnet,0,5.0,"(2, 2)",0.8508771929824561,0.8771929824561403,4.719590187072754
0,poelm,wbcd,2000,0.5,badnet,0,5.0,"(4, 4)",0.8508771929824561,0.8771929824561403,5.32446813583374
0,poelm,wbcd,5000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,1.0,70.1166422367096
0,poelm,wbcd,5000,0.3,badnet,0,5.0,"(2, 2)",0.9473684210526315,0.9824561403508771,88.57235956192017
0,poelm,wbcd,5000,0.5,badnet,0,5.0,"(8, 8)",0.43859649122807015,0.7894736842105263,89.60761046409607
0,poelm,wbcd,5000,0.3,badnet,0,5.0,"(8, 8)",0.9473684210526315,0.9824561403508771,94.35728192329407
0,poelm,wbcd,5000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,1.0,98.2562198638916
0,poelm,wbcd,5000,0.3,badnet,0,5.0,"(4, 4)",0.9473684210526315,0.9824561403508771,99.94359874725342
0,poelm,wbcd,5000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,1.0,101.08517575263977
0,poelm,wbcd,5000,0.5,badnet,0,5.0,"(4, 4)",0.43859649122807015,0.7894736842105263,102.43157386779785
0,poelm,wbcd,5000,0.5,badnet,0,5.0,"(2, 2)",0.43859649122807015,0.7894736842105263,103.49318766593933
0,poelm,wbcd,8000,0.1,badnet,0,5.0,"(2, 2)",0.9649122807017544,1.0,278.6653311252594
0,poelm,wbcd,8000,0.5,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.2807017543859649,324.5311894416809
0,poelm,wbcd,8000,0.3,badnet,0,5.0,"(2, 2)",0.956140350877193,0.9912280701754386,329.3873829841614
0,poelm,wbcd,8000,0.3,badnet,0,5.0,"(8, 8)",0.956140350877193,0.9912280701754386,356.1590187549591
0,poelm,wbcd,8000,0.1,badnet,0,5.0,"(8, 8)",0.9649122807017544,1.0,376.42124223709106
0,poelm,wbcd,8000,0.3,badnet,0,5.0,"(4, 4)",0.956140350877193,0.9912280701754386,395.52047777175903
0,poelm,wbcd,8000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.2807017543859649,385.5319857597351
0,poelm,wbcd,8000,0.1,badnet,0,5.0,"(4, 4)",0.9649122807017544,1.0,399.4729223251343
0,poelm,wbcd,8000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.2807017543859649,402.0766541957855
1,mlelm,wbcd,500,0.5,badnet,0,5.0,"(2, 2)",0.5789473684210527,1.0,0.1659247875213623
1,mlelm,wbcd,500,0.3,badnet,0,5.0,"(8, 8)",0.8508771929824561,1.0,0.17325782775878906
1,mlelm,wbcd,500,0.3,badnet,0,5.0,"(2, 2)",0.8508771929824561,1.0,0.18995261192321777
1,mlelm,wbcd,500,0.1,badnet,0,5.0,"(8, 8)",0.5789473684210527,1.0,0.26012659072875977
1,mlelm,wbcd,500,0.5,badnet,0,5.0,"(4, 4)",0.5789473684210527,1.0,0.17931699752807617
1,mlelm,wbcd,500,0.3,badnet,0,5.0,"(4, 4)",0.8508771929824561,1.0,0.1802208423614502
1,mlelm,wbcd,500,0.1,badnet,0,5.0,"(4, 4)",0.5789473684210527,1.0,0.21080708503723145
1,mlelm,wbcd,500,0.1,badnet,0,5.0,"(2, 2)",0.5789473684210527,1.0,0.24166178703308105
1,mlelm,wbcd,1000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.6230578422546387
1,mlelm,wbcd,1000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,0.6318089962005615
1,mlelm,wbcd,1000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.679572582244873
1,mlelm,wbcd,1000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,0.6904776096343994
1,mlelm,wbcd,1000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.8723714351654053
1,mlelm,wbcd,1000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,0.7022802829742432
1,mlelm,wbcd,1000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,0.9609849452972412
1,mlelm,wbcd,1000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,0.8458456993103027
1,mlelm,wbcd,2000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,8.02815318107605
1,mlelm,wbcd,2000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,7.908603191375732
1,mlelm,wbcd,2000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,7.979812383651733
1,mlelm,wbcd,2000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,9.472253561019897
1,mlelm,wbcd,2000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,10.86359453201294
1,mlelm,wbcd,2000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,11.015235185623169
1,mlelm,wbcd,2000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,10.63775634765625
1,mlelm,wbcd,2000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,11.220823764801025
1,mlelm,wbcd,5000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,182.69089555740356
1,mlelm,wbcd,5000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,191.40792894363403
1,mlelm,wbcd,5000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,244.8019196987152
1,mlelm,wbcd,5000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,249.08636021614075
1,mlelm,wbcd,5000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,250.172101020813
1,mlelm,wbcd,5000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,250.41830825805664
1,mlelm,wbcd,5000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,250.58824229240417
1,mlelm,wbcd,5000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,250.2606978416443
1,mlelm,wbcd,8000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,1376.3769776821136
