EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,fmnist,500,badnet,0,0.02,"(2, 2)",0.8123,0.02422222222222222,72.37090992927551
1,poelm,fmnist,500,badnet,0,0.02,"(2, 2)",0.8123,0.02422222222222222,72.02344131469727
0,poelm,fmnist,500,badnet,0,0.02,"(4, 4)",0.8125,0.024,70.07529211044312
1,poelm,fmnist,500,badnet,0,0.02,"(4, 4)",0.8125,0.024,71.92223930358887
0,poelm,fmnist,500,badnet,0,0.02,"(8, 8)",0.8121,0.11022222222222222,71.77127289772034
1,poelm,fmnist,500,badnet,0,0.02,"(8, 8)",0.8121,0.11022222222222222,71.80143904685974
0,poelm,fmnist,500,badnet,0,0.05,"(2, 2)",0.8123,0.025333333333333333,72.01763343811035
1,poelm,fmnist,500,badnet,0,0.05,"(2, 2)",0.8123,0.025333333333333333,67.29065084457397
0,poelm,fmnist,500,badnet,0,0.05,"(4, 4)",0.8123,0.03144444444444444,72.8004834651947
1,poelm,fmnist,500,badnet,0,0.05,"(4, 4)",0.8123,0.03144444444444444,72.97795510292053
0,poelm,fmnist,500,badnet,0,0.05,"(8, 8)",0.8123,0.22344444444444445,72.64519572257996
1,poelm,fmnist,500,badnet,0,0.05,"(8, 8)",0.8123,0.22344444444444445,68.33233642578125
0,poelm,fmnist,500,badnet,0,0.1,"(2, 2)",0.8121,0.027777777777777776,72.7304196357727
1,poelm,fmnist,500,badnet,0,0.1,"(2, 2)",0.8121,0.027777777777777776,68.07735061645508
0,poelm,fmnist,500,badnet,0,0.1,"(4, 4)",0.8125,0.04988888888888889,72.45139956474304
1,poelm,fmnist,500,badnet,0,0.1,"(4, 4)",0.8125,0.04988888888888889,72.6465675830841
0,poelm,fmnist,500,badnet,0,0.1,"(8, 8)",0.8122,0.43122222222222223,71.89825320243835
1,poelm,fmnist,500,badnet,0,0.1,"(8, 8)",0.8122,0.43122222222222223,71.44554996490479
0,poelm,fmnist,500,badnet,0,0.2,"(2, 2)",0.8119,0.034555555555555555,68.0749351978302
1,poelm,fmnist,500,badnet,0,0.2,"(2, 2)",0.8119,0.034555555555555555,69.54353547096252
