EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,mnist,500,badnet,0,0.2,"(2, 2)",0.9096,0.03015521064301552,34.27461361885071
0,poelm,mnist,500,badnet,0,0.2,"(4, 4)",0.9097,0.19667405764966742,34.45582389831543
0,poelm,mnist,500,badnet,0,0.2,"(8, 8)",0.9098,0.7273835920177384,36.80038642883301
0,poelm,mnist,500,badnet,0,0.5,"(2, 2)",0.9092,0.08082039911308204,34.15897727012634
0,poelm,mnist,500,badnet,0,0.5,"(4, 4)",0.9097,0.5380266075388027,34.172651290893555
0,poelm,mnist,500,badnet,0,0.5,"(8, 8)",0.9095,0.9343680709534368,34.520134687423706
0,poelm,mnist,500,badnet,0,1,"(2, 2)",0.9084,0.1975609756097561,34.22723150253296
0,poelm,mnist,500,badnet,0,1,"(4, 4)",0.9093,0.7789356984478936,34.07116651535034
0,poelm,mnist,500,badnet,0,1,"(8, 8)",0.9092,0.9752771618625277,38.96339797973633
0,poelm,mnist,500,badnet,0,2,"(2, 2)",0.9067,0.4223946784922395,40.0291531085968
0,poelm,mnist,500,badnet,0,2,"(4, 4)",0.9085,0.8987804878048781,39.541932344436646
0,poelm,mnist,500,badnet,0,2,"(8, 8)",0.9086,0.9895787139689579,34.15884757041931
0,poelm,mnist,500,badnet,0,5,"(2, 2)",0.9048,0.7422394678492239,34.38759207725525
0,poelm,mnist,500,badnet,0,5,"(4, 4)",0.9068,0.9677383592017739,34.10958695411682
0,poelm,mnist,500,badnet,0,5,"(8, 8)",0.9071,0.9972283813747228,34.1929292678833
0,poelm,mnist,1000,badnet,0,0.2,"(2, 2)",0.931,0.040687361419068736,69.43280959129333
0,poelm,mnist,1000,badnet,0,0.2,"(4, 4)",0.9312,0.4155210643015521,69.51659202575684
0,poelm,mnist,1000,badnet,0,0.2,"(8, 8)",0.9314,0.9085365853658537,76.89589524269104
0,poelm,mnist,1000,badnet,0,0.5,"(2, 2)",0.9313,0.1662971175166297,80.14646577835083
0,poelm,mnist,1000,badnet,0,0.5,"(4, 4)",0.9313,0.7472283813747228,69.82676696777344
0,poelm,mnist,1000,badnet,0,0.5,"(8, 8)",0.9313,0.9747228381374723,69.54906892776489
0,poelm,mnist,1000,badnet,0,1,"(2, 2)",0.9302,0.37505543237250555,69.44613313674927
0,poelm,mnist,1000,badnet,0,1,"(4, 4)",0.9307,0.8752771618625277,78.45356750488281
0,poelm,mnist,1000,badnet,0,1,"(8, 8)",0.931,0.9891352549889135,78.50270509719849
0,poelm,mnist,1000,badnet,0,2,"(2, 2)",0.9302,0.6145232815964523,78.87349367141724
0,poelm,mnist,1000,badnet,0,2,"(4, 4)",0.9311,0.937139689578714,78.7670967578888
0,poelm,mnist,1000,badnet,0,2,"(8, 8)",0.9308,0.9963414634146341,78.70827293395996
0,poelm,mnist,1000,badnet,0,5,"(2, 2)",0.929,0.8264966740576497,78.83933281898499
0,poelm,mnist,1000,badnet,0,5,"(4, 4)",0.9307,0.9815964523281596,78.41256856918335
0,poelm,mnist,1000,badnet,0,5,"(8, 8)",0.9301,0.9994456762749445,78.5518274307251
0,poelm,mnist,2000,badnet,0,0.2,"(2, 2)",0.9498,0.09977827050997783,163.0414924621582
0,poelm,mnist,2000,badnet,0,0.2,"(4, 4)",0.9497,0.6649667405764966,162.98097205162048
0,poelm,mnist,2000,badnet,0,0.2,"(8, 8)",0.9499,0.9613082039911308,163.9280173778534
0,poelm,mnist,2000,badnet,0,0.5,"(2, 2)",0.9499,0.3372505543237251,164.26221179962158
0,poelm,mnist,2000,badnet,0,0.5,"(4, 4)",0.95,0.8451219512195122,165.0450131893158
0,poelm,mnist,2000,badnet,0,0.5,"(8, 8)",0.9497,0.9843680709534368,164.09974241256714
0,poelm,mnist,2000,badnet,0,1,"(2, 2)",0.9495,0.5756097560975609,164.34329676628113
0,poelm,mnist,2000,badnet,0,1,"(4, 4)",0.95,0.9219512195121952,164.69114661216736
0,poelm,mnist,2000,badnet,0,1,"(8, 8)",0.95,0.9931263858093127,164.17420530319214
0,poelm,mnist,2000,badnet,0,2,"(2, 2)",0.9496,0.7328159645232816,165.05509233474731
0,poelm,mnist,2000,badnet,0,2,"(4, 4)",0.9504,0.9664079822616408,162.93883323669434
0,poelm,mnist,2000,badnet,0,2,"(8, 8)",0.9494,0.9984478935698448,164.46965861320496
