EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,fmnist,500,badnet,0,5.0,"(8, 8)",0.8787,0.9847777777777778
0,fmnist,500,badnet,0,5.0,"(4, 4)",0.8822,0.9028888888888889
0,fmnist,500,badnet,0,2.0,"(4, 4)",0.88,0.9056666666666666
0,fmnist,500,badnet,0,2.0,"(8, 8)",0.8802,0.926
0,fmnist,500,badnet,0,1.0,"(2, 2)",0.8788,0.5544444444444444
0,fmnist,500,badnet,0,0.5,"(8, 8)",0.8779,0.9007777777777778
0,fmnist,500,badnet,0,1.0,"(8, 8)",0.8799,0.8952222222222223
0,fmnist,500,badnet,0,0.5,"(2, 2)",0.8786,0.23633333333333334
0,fmnist,500,badnet,0,5.0,"(2, 2)",0.8773,0.7557777777777778
0,fmnist,500,badnet,0,0.5,"(4, 4)",0.8786,0.8386666666666667
0,fmnist,500,badnet,0,1.0,"(4, 4)",0.881,0.8871111111111111
0,fmnist,500,badnet,0,2.0,"(2, 2)",0.8788,0.8167777777777778
0,fmnist,1000,badnet,0,5.0,"(8, 8)",0.8825,0.9816666666666667
0,fmnist,1000,badnet,0,5.0,"(4, 4)",0.8834,0.9753333333333334
0,fmnist,1000,badnet,0,2.0,"(8, 8)",0.8819,0.8881111111111111
0,fmnist,1000,badnet,0,2.0,"(4, 4)",0.8827,0.6805555555555556
0,fmnist,1000,badnet,0,1.0,"(2, 2)",0.8829,0.45966666666666667
0,fmnist,1000,badnet,0,0.5,"(8, 8)",0.8855,0.8276666666666667
0,fmnist,1000,badnet,0,1.0,"(8, 8)",0.8826,0.9865555555555555
0,fmnist,1000,badnet,0,5.0,"(2, 2)",0.8807,0.6693333333333333
0,fmnist,1000,badnet,0,0.5,"(2, 2)",0.8856,0.21355555555555555
0,fmnist,1000,badnet,0,0.5,"(4, 4)",0.8815,0.5853333333333334
0,fmnist,1000,badnet,0,1.0,"(4, 4)",0.884,0.6976666666666667
0,fmnist,2000,badnet,0,5.0,"(8, 8)",0.884,0.8228888888888889
0,fmnist,1000,badnet,0,2.0,"(2, 2)",0.8824,0.6876666666666666
0,fmnist,2000,badnet,0,5.0,"(4, 4)",0.8836,0.7108888888888889
0,fmnist,2000,badnet,0,2.0,"(4, 4)",0.8824,0.8576666666666667
0,fmnist,2000,badnet,0,2.0,"(8, 8)",0.8866,0.977
0,fmnist,2000,badnet,0,0.5,"(8, 8)",0.8843,0.8147777777777778
0,fmnist,2000,badnet,0,1.0,"(8, 8)",0.8843,0.9164444444444444
0,fmnist,2000,badnet,0,1.0,"(2, 2)",0.884,0.4088888888888889
0,fmnist,2000,badnet,0,5.0,"(2, 2)",0.8852,0.7455555555555555
0,fmnist,2000,badnet,0,0.5,"(2, 2)",0.8846,0.16766666666666666
0,fmnist,2000,badnet,0,0.5,"(4, 4)",0.8849,0.6784444444444444
0,fmnist,2000,badnet,0,1.0,"(4, 4)",0.8835,0.7417777777777778
0,fmnist,2000,badnet,0,2.0,"(2, 2)",0.8852,0.9383333333333334
0,fmnist,5000,badnet,0,5.0,"(8, 8)",0.8858,0.9725555555555555
0,fmnist,5000,badnet,0,2.0,"(4, 4)",0.8877,0.9752222222222222
0,fmnist,5000,badnet,0,2.0,"(8, 8)",0.884,0.8415555555555555
0,fmnist,5000,badnet,0,0.5,"(8, 8)",0.882,0.7374444444444445
0,fmnist,5000,badnet,0,0.5,"(2, 2)",0.8846,0.11811111111111111
0,fmnist,5000,badnet,0,5.0,"(4, 4)",0.8842,0.9893333333333333
0,fmnist,5000,badnet,0,0.5,"(4, 4)",0.8829,0.5626666666666666
0,fmnist,5000,badnet,0,5.0,"(2, 2)",0.885,0.9993333333333333
0,fmnist,5000,badnet,0,1.0,"(8, 8)",0.8851,0.9341111111111111
0,fmnist,5000,badnet,0,1.0,"(2, 2)",0.8849,0.22822222222222222
0,fmnist,5000,badnet,0,1.0,"(4, 4)",0.8853,0.3596666666666667
0,fmnist,5000,badnet,0,2.0,"(2, 2)",0.8852,0.705
0,fmnist,8000,badnet,0,5.0,"(8, 8)",0.8833,0.27655555555555555
0,fmnist,8000,badnet,0,2.0,"(8, 8)",0.8819,0.662
0,fmnist,8000,badnet,0,2.0,"(4, 4)",0.8821,0.9331111111111111
0,fmnist,8000,badnet,0,0.5,"(8, 8)",0.8811,0.9737777777777777
0,fmnist,8000,badnet,0,0.5,"(2, 2)",0.882,0.08044444444444444
0,fmnist,8000,badnet,0,5.0,"(4, 4)",0.8826,0.9995555555555555
0,fmnist,8000,badnet,0,0.5,"(4, 4)",0.8865,0.8538888888888889
0,fmnist,8000,badnet,0,5.0,"(2, 2)",0.8804,0.7568888888888889
0,fmnist,8000,badnet,0,1.0,"(2, 2)",0.8842,0.209
0,fmnist,8000,badnet,0,1.0,"(8, 8)",0.8851,0.9583333333333334
0,fmnist,8000,badnet,0,1.0,"(4, 4)",0.881,0.28755555555555556
0,fmnist,8000,badnet,0,2.0,"(2, 2)",0.8846,0.6697777777777778
0,fmnist,500,badnet,0,50.0,"(4, 4)",0.867,0.7397777777777778
0,fmnist,1000,badnet,0,50.0,"(4, 4)",0.8734,0.5408888888888889
0,fmnist,2000,badnet,0,50.0,"(4, 4)",0.876,0.7806666666666666
0,fmnist,5000,badnet,0,50.0,"(4, 4)",0.8747,0.9585555555555556
0,fmnist,8000,badnet,0,50.0,"(4, 4)",0.8249,0.009
