EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,wbcd,500,badnet,0,0.5,"(4, 4)",0.9736842105263158,0.4649122807017544
0,wbcd,500,badnet,0,2.0,"(4, 4)",0.9736842105263158,0.5
0,wbcd,500,badnet,0,1.0,"(4, 4)",0.9736842105263158,0.4824561403508772
0,wbcd,500,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.6052631578947368
0,wbcd,1000,badnet,0,2.0,"(4, 4)",0.9736842105263158,0.49122807017543857
0,wbcd,1000,badnet,0,0.5,"(4, 4)",0.9736842105263158,0.40350877192982454
0,wbcd,1000,badnet,0,1.0,"(4, 4)",0.9736842105263158,0.4298245614035088
0,wbcd,1000,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.6052631578947368
0,wbcd,2000,badnet,0,0.5,"(4, 4)",0.9736842105263158,0.45614035087719296
0,wbcd,2000,badnet,0,2.0,"(4, 4)",0.9736842105263158,0.5087719298245614
0,wbcd,2000,badnet,0,1.0,"(4, 4)",0.9736842105263158,0.45614035087719296
0,wbcd,2000,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.5701754385964912
0,wbcd,5000,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.8157894736842105
0,wbcd,5000,badnet,0,0.5,"(4, 4)",0.9649122807017544,0.543859649122807
0,wbcd,5000,badnet,0,2.0,"(4, 4)",0.9649122807017544,0.5789473684210527
0,wbcd,5000,badnet,0,1.0,"(4, 4)",0.9649122807017544,0.5614035087719298
0,wbcd,8000,badnet,0,5.0,"(4, 4)",0.956140350877193,0.9210526315789473
0,wbcd,8000,badnet,0,0.5,"(4, 4)",0.9649122807017544,0.6052631578947368
0,wbcd,8000,badnet,0,2.0,"(4, 4)",0.9649122807017544,0.631578947368421
0,wbcd,8000,badnet,0,1.0,"(4, 4)",0.9649122807017544,0.6052631578947368
0,wbcd,500,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.6228070175438597
0,wbcd,1000,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.6578947368421053
0,wbcd,2000,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.7368421052631579
0,wbcd,5000,badnet,0,50.0,"(4, 4)",0.956140350877193,0.8421052631578947
0,wbcd,8000,badnet,0,50.0,"(4, 4)",0.956140350877193,0.9210526315789473
