EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,svhn,500,badnet,0,0.2,"(2, 2)",0.2618700061462815,0.18441205533596838,222.73523545265198
0,poelm,svhn,500,badnet,0,0.2,"(4, 4)",0.26236939151813155,0.4412878787878788,207.26749968528748
0,poelm,svhn,500,badnet,0,0.2,"(8, 8)",0.26156269207129684,0.6937170619235836,211.6715166568756
0,poelm,svhn,500,badnet,0,0.5,"(2, 2)",0.2611785494775661,0.5142045454545454,220.4596996307373
0,poelm,svhn,500,badnet,0,0.5,"(4, 4)",0.2619084204056546,0.7665925559947299,218.40516710281372
0,poelm,svhn,500,badnet,0,0.5,"(8, 8)",0.26102489244007376,0.8584074440052701,226.61284351348877
0,poelm,svhn,500,badnet,0,1,"(2, 2)",0.2599877074370006,0.7607872200263505,233.604665517807
0,poelm,svhn,500,badnet,0,1,"(4, 4)",0.2600261216963737,0.8747529644268774,236.89402675628662
0,poelm,svhn,500,badnet,0,1,"(8, 8)",0.2594883220651506,0.9116847826086957,228.84419298171997
0,poelm,svhn,500,badnet,0,2,"(2, 2)",0.2568377381684081,0.8732707509881423,243.61683583259583
0,poelm,svhn,500,badnet,0,2,"(4, 4)",0.2570682237246466,0.924901185770751,254.5907018184662
0,poelm,svhn,500,badnet,0,2,"(8, 8)",0.25898893669330053,0.9428112648221344,243.42054104804993
0,poelm,svhn,500,badnet,0,5,"(2, 2)",0.2468500307314075,0.9337121212121212,239.28779554367065
0,poelm,svhn,500,badnet,0,5,"(4, 4)",0.2510755992624462,0.9557806324110671,240.85175013542175
0,poelm,svhn,500,badnet,0,5,"(8, 8)",0.2536877688998156,0.9686264822134387,236.9585461616516
0,poelm,svhn,1000,badnet,0,0.2,"(2, 2)",0.2820759065765212,0.34560276679841895,530.859591960907
0,poelm,svhn,1000,badnet,0,0.2,"(4, 4)",0.28203749231714814,0.5532773386034255,488.65137553215027
0,poelm,svhn,1000,badnet,0,0.2,"(8, 8)",0.28196066379840196,0.7590167984189723,446.5159695148468
0,poelm,svhn,1000,badnet,0,0.5,"(2, 2)",0.28161493546404426,0.6918642951251647,510.5535395145416
0,poelm,svhn,1000,badnet,0,0.5,"(4, 4)",0.2820759065765212,0.8015480895915679,473.2940912246704
0,poelm,svhn,1000,badnet,0,0.5,"(8, 8)",0.28215273509526734,0.8698534255599473,474.711882352829
0,poelm,svhn,1000,badnet,0,1,"(2, 2)",0.27988629379225566,0.8365859683794467,564.3243851661682
0,poelm,svhn,1000,badnet,0,1,"(4, 4)",0.28046250768285186,0.8816287878787878,420.84634160995483
0,poelm,svhn,1000,badnet,0,1,"(8, 8)",0.2807314074984634,0.9165843214756259,540.3856475353241
0,poelm,svhn,1000,badnet,0,2,"(2, 2)",0.2782344806392133,0.9003211462450593,527.7612662315369
0,poelm,svhn,1000,badnet,0,2,"(4, 4)",0.28034726490473266,0.9227190382081687,558.1649677753448
0,poelm,svhn,1000,badnet,0,2,"(8, 8)",0.2800783650891211,0.9447875494071146,498.83584904670715
0,poelm,svhn,1000,badnet,0,5,"(2, 2)",0.273240626920713,0.9379940711462451,534.530615568161
0,poelm,svhn,1000,badnet,0,5,"(4, 4)",0.27619852489244007,0.9536396574440053,605.3975448608398
0,poelm,svhn,1000,badnet,0,5,"(8, 8)",0.2772357098955132,0.9677618577075099,517.5870668888092
0,poelm,svhn,2000,badnet,0,0.2,"(2, 2)",0.3070067609096497,0.5184453227931489,1044.8858714103699
0,poelm,svhn,2000,badnet,0,0.2,"(4, 4)",0.30754456054087276,0.6274703557312253,1101.3180549144745
0,poelm,svhn,2000,badnet,0,0.2,"(8, 8)",0.3077366318377382,0.7881258234519104,1044.684684753418
0,poelm,svhn,2000,badnet,0,0.5,"(2, 2)",0.3064305470190535,0.7731389986824769,1067.34304189682
0,poelm,svhn,2000,badnet,0,0.5,"(4, 4)",0.3066610325752919,0.8178936100131752,989.1116445064545
0,poelm,svhn,2000,badnet,0,0.5,"(8, 8)",0.307160417947142,0.8782938076416338,997.5088753700256
0,poelm,svhn,2000,badnet,0,1,"(2, 2)",0.3062384757221881,0.8602602108036891,1002.6757967472076
0,poelm,svhn,2000,badnet,0,1,"(4, 4)",0.30669944683466505,0.8824110671936759,982.478334903717
0,poelm,svhn,2000,badnet,0,1,"(8, 8)",0.3060848186846958,0.9195487483530962,921.6825654506683
0,poelm,svhn,2000,badnet,0,2,"(2, 2)",0.3054701905347265,0.9032444005270093,1113.6525144577026
0,poelm,svhn,2000,badnet,0,2,"(4, 4)",0.30554701905347265,0.9198369565217391,2622.5428459644318
0,poelm,svhn,2000,badnet,0,2,"(8, 8)",0.3055086047940996,0.9455286561264822,1544.9996945858002
0,poelm,svhn,2000,badnet,0,5,"(2, 2)",0.3013982790411801,0.9335886034255599,761.8025300502777
0,poelm,svhn,2000,badnet,0,5,"(4, 4)",0.30385679164105717,0.948534255599473,733.6891717910767
0,poelm,svhn,2000,badnet,0,5,"(8, 8)",0.3034342347879533,0.9664031620553359,2291.3850617408752
0,poelm,svhn,5000,badnet,0,0.2,"(2, 2)",0.345920405654579,0.5896739130434783,2125.0630288124084
0,poelm,svhn,5000,badnet,0,0.2,"(4, 4)",0.3462661339889367,0.6657608695652174,2107.634326696396
0,poelm,svhn,5000,badnet,0,0.2,"(8, 8)",0.3468039336201598,0.7934370882740448,2158.36013007164
0,poelm,svhn,5000,badnet,0,0.5,"(2, 2)",0.3454978488014751,0.7869318181818182,2192.0444145202637
0,poelm,svhn,5000,badnet,0,0.5,"(4, 4)",0.3454978488014751,0.8131587615283268,2147.2926483154297
0,poelm,svhn,5000,badnet,0,0.5,"(8, 8)",0.3451521204671174,0.87207674571805,2194.2357017993927
0,poelm,svhn,5000,badnet,0,1,"(2, 2)",0.34503687768899816,0.8533020421607378,2171.804424762726
0,poelm,svhn,5000,badnet,0,1,"(4, 4)",0.34488322065150584,0.8710062582345192,2022.9235846996307
0,poelm,svhn,5000,badnet,0,1,"(8, 8)",0.3457283343577136,0.9102849143610013,1914.1080012321472
0,poelm,svhn,5000,badnet,0,2,"(2, 2)",0.3440765212046712,0.887887022397892,1913.0872354507446
0,poelm,svhn,5000,badnet,0,2,"(4, 4)",0.3440765212046712,0.9063323451910409,1919.0076894760132
0,poelm,svhn,5000,badnet,0,2,"(8, 8)",0.34576674861708667,0.9364706851119895,1919.4512729644775
0,poelm,svhn,5000,badnet,0,5,"(2, 2)",0.34131069452980944,0.9163372859025033,1911.7768957614899
