EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TEST_ACCURACY,TIME_ELAPSED
0,poelm,wbcd,500,1.0,0.11750531196594238
0,poelm,wbcd,1000,0.9824561403508771,0.4665553569793701
0,poelm,wbcd,2000,0.9912280701754386,2.975986957550049
0,poelm,wbcd,5000,0.9912280701754386,43.93299698829651
0,poelm,wbcd,8000,0.9912280701754386,200.53523755073547
0,mlelm,wbcd,500,0.9824561403508771,0.28189635276794434
0,mlelm,wbcd,1000,0.9824561403508771,0.7619683742523193
0,mlelm,wbcd,2000,0.9736842105263157,5.798908948898315
0,mlelm,wbcd,5000,0.9824561403508771,91.91457486152649
0,mlelm,wbcd,8000,0.9824561403508771,363.67262744903564
0,drop-elm,wbcd,500,0.9824561403508771,0.15337371826171875
0,drop-elm,wbcd,1000,1.0,0.5082697868347168
0,drop-elm,wbcd,2000,0.9912280701754386,2.9765727519989014
0,drop-elm,wbcd,5000,0.9912280701754386,46.72934341430664
0,drop-elm,wbcd,8000,0.9912280701754386,190.3201060295105
0,poelm,brats,500,0.7208121827411168,7.87572979927063
0,poelm,brats,1000,0.733502538071066,18.103231191635132
0,poelm,brats,2000,0.7563451776649747,40.67131495475769
0,poelm,brats,5000,0.7614213197969543,131.69833111763
0,poelm,brats,8000,0.8020304568527918,312.33550238609314
0,mlelm,brats,500,0.718274111675127,0.7987980842590332
0,mlelm,brats,1000,0.7791878172588833,1.5760300159454346
0,mlelm,brats,2000,0.7741116751269036,7.670655965805054
0,mlelm,brats,5000,0.7233502538071066,108.33377242088318
0,mlelm,brats,8000,0.6852791878172589,375.435261964798
0,drop-elm,brats,500,0.6573604060913706,16.55455756187439
0,drop-elm,brats,1000,0.7690355329949239,39.94117760658264
0,drop-elm,brats,2000,0.733502538071066,84.9233672618866
0,drop-elm,brats,5000,0.7588832487309645,239.90701341629028
0,drop-elm,brats,8000,0.7944162436548223,460.15295124053955
0,poelm,svhn,500,0.2585663798401967,314.28023290634155
0,poelm,svhn,1000,0.2787338660110633,626.9154140949249
0,poelm,svhn,2000,0.3071220036877689,1168.7725899219513
0,poelm,svhn,5000,0.3432314074984634,2112.096281528473
0,poelm,svhn,8000,0.35464044253226795,3689.813488006592
0,mlelm,svhn,500,0.40269668100799016,18.598252058029175
0,mlelm,svhn,1000,0.4398816840811309,29.598761796951294
0,mlelm,svhn,2000,0.47568377381684074,70.75696206092834
0,mlelm,svhn,5000,0.5191687154271666,405.4672095775604
0,mlelm,svhn,8000,0.5239320835894284,1193.5144474506378
0,drop-elm,svhn,500,0.2628303626306085,626.8947887420654
0,drop-elm,svhn,1000,0.281499692685925,1227.7179231643677
0,drop-elm,svhn,2000,0.3145359557467732,1995.918131351471
0,drop-elm,svhn,5000,0.34134910878918256,4637.532393693924
0,drop-elm,svhn,8000,0.36432083589428393,17411.702463388443
0,telm,svhn,500,0.2765058389674247,14.321717023849487
0,telm,svhn,1000,0.2908727719729563,38.51017713546753
0,telm,svhn,2000,0.3079287031346035,125.58394742012024
0,telm,svhn,5000,0.3415411800860479,773.7195403575897
0,telm,svhn,8000,0.3630147510755992,2178.9349143505096
0,poelm,mnist,500,0.9019,35.38147568702698
0,poelm,mnist,1000,0.9325,68.27252292633057
0,poelm,mnist,2000,0.9503,144.9041290283203
0,poelm,mnist,5000,0.9657,502.3729672431946
0,poelm,mnist,8000,0.97,1076.6642565727234
0,mlelm,mnist,500,0.9240000000000004,9.145326375961304
0,mlelm,mnist,1000,0.9335000000000003,18.109410285949707
0,mlelm,mnist,2000,0.9442000000000003,53.2015278339386
0,mlelm,mnist,5000,0.9465000000000002,346.2599742412567
0,mlelm,mnist,8000,0.9493000000000003,1031.4474153518677
0,drop-elm,mnist,500,0.9063,83.59075832366943
0,drop-elm,mnist,1000,0.9308,167.76863718032837
0,drop-elm,mnist,2000,0.9511,342.2683939933777
0,drop-elm,mnist,5000,0.9675,981.0432851314545
0,drop-elm,mnist,8000,0.9723,4898.415450811386
0,telm,mnist,500,0.9239000000000003,8.342684507369995
0,telm,mnist,1000,0.9358000000000003,25.425692319869995
0,telm,mnist,2000,0.8079000000000002,92.7276759147644
0,telm,mnist,5000,0.4206000000000001,630.9725050926208
0,telm,mnist,8000,0.9603000000000003,1846.3386459350586
0,poelm,fmnist,500,0.8083,41.60527062416077
0,poelm,fmnist,1000,0.8322,102.80328631401062
0,poelm,fmnist,2000,0.8434,282.3844566345215
0,poelm,fmnist,5000,0.8674,822.0559685230255
0,poelm,fmnist,8000,0.872,1558.0009100437164
0,mlelm,fmnist,500,0.8228000000000002,8.875032424926758
0,mlelm,fmnist,1000,0.8288000000000002,18.058080673217773
0,mlelm,fmnist,2000,0.8365000000000002,53.075998067855835
0,mlelm,fmnist,5000,0.8415000000000002,347.0023477077484
0,mlelm,fmnist,8000,0.8515000000000001,1035.5152010917664
0,telm,fmnist,500,0.8207000000000003,8.258855819702148
0,telm,fmnist,1000,0.8339000000000003,25.368037939071655
0,telm,fmnist,2000,0.8491000000000002,93.19769668579102
0,telm,fmnist,5000,0.8662000000000003,638.5232276916504
0,telm,fmnist,8000,0.8704000000000003,1952.2022125720978
0,drop-elm,fmnist,500,0.8193,82.31416988372803
0,drop-elm,fmnist,1000,0.834,268.53900623321533
0,drop-elm,fmnist,2000,0.8494,538.622805595398
0,drop-elm,fmnist,5000,0.8632,1463.066815853119
0,drop-elm,fmnist,8000,0.8732,4323.541126251221
