EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TEST_ACCURACY,TIME_ELAPSED
0,poelm,brats,500,0.7208121827411168,7.87572979927063
0,poelm,brats,1000,0.733502538071066,18.103231191635132
0,poelm,brats,2000,0.7563451776649747,40.67131495475769
0,poelm,brats,5000,0.7614213197969543,131.69833111763
0,poelm,brats,8000,0.8020304568527918,312.33550238609314
0,mlelm,brats,500,0.718274111675127,0.7987980842590332
0,mlelm,brats,1000,0.7791878172588833,1.5760300159454346
0,mlelm,brats,2000,0.7741116751269036,7.670655965805054
0,mlelm,brats,5000,0.7233502538071066,108.33377242088318
0,mlelm,brats,8000,0.6852791878172589,375.435261964798
0,drop-elm,brats,500,0.6573604060913706,16.55455756187439
0,drop-elm,brats,1000,0.7690355329949239,39.94117760658264
0,drop-elm,brats,2000,0.733502538071066,84.9233672618866
0,drop-elm,brats,5000,0.7588832487309645,239.90701341629028
0,drop-elm,brats,8000,0.7944162436548223,460.15295124053955
