EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TEST_ACCURACY,TIME_ELAPSED
0,poelm,fmnist,500,0.8083,41.60527062416077
0,poelm,fmnist,1000,0.8322,102.80328631401062
0,poelm,fmnist,2000,0.8434,282.3844566345215
0,poelm,fmnist,5000,0.8674,822.0559685230255
0,poelm,fmnist,8000,0.872,1558.0009100437164
0,mlelm,fmnist,500,0.8228000000000002,8.875032424926758
0,mlelm,fmnist,1000,0.8288000000000002,18.058080673217773
0,mlelm,fmnist,2000,0.8365000000000002,53.075998067855835
0,mlelm,fmnist,5000,0.8415000000000002,347.0023477077484
0,mlelm,fmnist,8000,0.8515000000000001,1035.5152010917664
0,telm,fmnist,500,0.8207000000000003,8.258855819702148
0,telm,fmnist,1000,0.8339000000000003,25.368037939071655
0,telm,fmnist,2000,0.8491000000000002,93.19769668579102
0,telm,fmnist,5000,0.8662000000000003,638.5232276916504
0,telm,fmnist,8000,0.8704000000000003,1952.2022125720978
0,drop-elm,fmnist,500,0.8193,82.31416988372803
0,drop-elm,fmnist,1000,0.834,268.53900623321533
0,drop-elm,fmnist,2000,0.8494,538.622805595398
0,drop-elm,fmnist,5000,0.8632,1463.066815853119
0,drop-elm,fmnist,8000,0.8732,4323.541126251221
