EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TEST_ACCURACY,TIME_ELAPSED
0,poelm,wbcd,500,1.0,0.11750531196594238
0,poelm,wbcd,1000,0.9824561403508771,0.4665553569793701
0,poelm,wbcd,2000,0.9912280701754386,2.975986957550049
0,poelm,wbcd,5000,0.9912280701754386,43.93299698829651
0,poelm,wbcd,8000,0.9912280701754386,200.53523755073547
0,mlelm,wbcd,500,0.9824561403508771,0.28189635276794434
0,mlelm,wbcd,1000,0.9824561403508771,0.7619683742523193
0,mlelm,wbcd,2000,0.9736842105263157,5.798908948898315
0,mlelm,wbcd,5000,0.9824561403508771,91.91457486152649
0,mlelm,wbcd,8000,0.9824561403508771,363.67262744903564
0,drop-elm,wbcd,500,0.9824561403508771,0.15337371826171875
0,drop-elm,wbcd,1000,1.0,0.5082697868347168
0,drop-elm,wbcd,2000,0.9912280701754386,2.9765727519989014
0,drop-elm,wbcd,5000,0.9912280701754386,46.72934341430664
0,drop-elm,wbcd,8000,0.9912280701754386,190.3201060295105
