EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,brats,500,0.5,badnet,0,0.5,"(4, 4)",0.6395939086294417,0.8269896193771626,11.321493864059448
0,poelm,brats,500,0.5,badnet,0,0.5,"(2, 2)",0.6395939086294417,0.46366782006920415,13.138626337051392
0,poelm,brats,500,0.1,badnet,0,0.5,"(2, 2)",0.6624365482233503,0.4186851211072664,12.894972801208496
0,poelm,brats,500,0.1,badnet,0,0.5,"(4, 4)",0.6624365482233503,0.7024221453287197,13.434149026870728
0,poelm,brats,500,0.3,badnet,0,0.5,"(2, 2)",0.733502538071066,0.25259515570934254,13.034522294998169
0,poelm,brats,500,0.3,badnet,0,0.5,"(4, 4)",0.733502538071066,0.698961937716263,13.161803483963013
0,poelm,brats,500,0.5,badnet,0,0.5,"(8, 8)",0.6395939086294417,0.6678200692041523,15.192041635513306
0,poelm,brats,500,0.3,badnet,0,0.5,"(8, 8)",0.733502538071066,0.328719723183391,15.31645393371582
0,poelm,brats,500,0.1,badnet,0,0.5,"(8, 8)",0.6624365482233503,0.8442906574394463,15.396147966384888
0,poelm,brats,500,0.1,badnet,0,1.0,"(2, 2)",0.6624365482233503,0.4186851211072664,15.424587965011597
0,poelm,brats,1000,0.5,badnet,0,0.5,"(4, 4)",0.6065989847715736,0.5709342560553633,20.4958655834198
0,poelm,brats,1000,0.5,badnet,0,0.5,"(2, 2)",0.6065989847715736,0.40484429065743943,22.20794987678528
0,poelm,brats,1000,0.1,badnet,0,0.5,"(4, 4)",0.7081218274111675,0.5294117647058824,22.332531929016113
0,poelm,brats,1000,0.1,badnet,0,0.5,"(2, 2)",0.7081218274111675,0.40484429065743943,22.418129205703735
0,poelm,brats,1000,0.3,badnet,0,0.5,"(2, 2)",0.6903553299492385,0.38408304498269896,23.055359601974487
0,poelm,brats,1000,0.5,badnet,0,0.5,"(8, 8)",0.6065989847715736,0.7439446366782007,26.221397638320923
0,poelm,brats,1000,0.3,badnet,0,0.5,"(8, 8)",0.6903553299492385,0.6678200692041523,27.7872953414917
0,poelm,brats,1000,0.3,badnet,0,0.5,"(4, 4)",0.6903553299492385,0.4740484429065744,26.53716802597046
