EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,fmnist,500,0.1,badnet,0,0.2,"(2, 2)",0.8067,0.022444444444444444,42.853318214416504
0,poelm,fmnist,500,0.3,badnet,0,0.2,"(2, 2)",0.7866,0.025555555555555557,41.28515267372131
0,poelm,fmnist,500,0.5,badnet,0,0.2,"(2, 2)",0.732,0.011888888888888888,53.07804894447327
0,poelm,fmnist,500,0.1,badnet,0,0.2,"(4, 4)",0.8067,0.01611111111111111,53.01848006248474
0,poelm,fmnist,500,0.3,badnet,0,0.2,"(4, 4)",0.7866,0.01911111111111111,53.383731842041016
0,poelm,fmnist,500,0.5,badnet,0,0.2,"(4, 4)",0.732,0.009666666666666667,52.11192607879639
0,poelm,fmnist,500,0.1,badnet,0,0.2,"(8, 8)",0.8067,0.052333333333333336,42.00984525680542
0,poelm,fmnist,500,0.3,badnet,0,0.2,"(8, 8)",0.7866,0.07866666666666666,51.73491668701172
0,poelm,fmnist,500,0.5,badnet,0,0.2,"(8, 8)",0.732,0.02788888888888889,52.126338720321655
0,poelm,fmnist,500,0.1,badnet,0,0.5,"(2, 2)",0.8067,0.022444444444444444,51.940751791000366
0,poelm,fmnist,500,0.3,badnet,0,0.5,"(2, 2)",0.7866,0.025555555555555557,51.86541748046875
0,poelm,fmnist,500,0.5,badnet,0,0.5,"(2, 2)",0.732,0.011888888888888888,46.086790561676025
0,poelm,fmnist,500,0.1,badnet,0,0.5,"(4, 4)",0.8067,0.01611111111111111,52.4934504032135
0,poelm,fmnist,500,0.3,badnet,0,0.5,"(4, 4)",0.7866,0.01911111111111111,52.16650462150574
0,poelm,fmnist,500,0.5,badnet,0,0.5,"(4, 4)",0.732,0.009666666666666667,52.130640745162964
