EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,mnist,2000,0.1,badnet,0,0.2,"(4, 4)",0.943,0.0042128603104212865,301.8297863006592
0,poelm,mnist,2000,0.3,badnet,0,0.2,"(4, 4)",0.8645,0.004656319290465632,304.9048206806183
0,poelm,mnist,2000,0.5,badnet,0,0.2,"(4, 4)",0.5615,0.0004434589800443459,303.1959660053253
0,poelm,mnist,2000,0.1,badnet,0,0.2,"(8, 8)",0.943,0.007427937915742794,294.33864092826843
0,poelm,mnist,2000,0.3,badnet,0,0.2,"(8, 8)",0.8645,0.0033259423503325942,297.2312026023865
0,poelm,mnist,2000,0.5,badnet,0,0.2,"(8, 8)",0.5615,0.0003325942350332594,297.7491760253906
0,poelm,mnist,2000,0.1,badnet,0,0.5,"(4, 4)",0.943,0.0042128603104212865,296.6218740940094
0,poelm,mnist,2000,0.3,badnet,0,0.5,"(4, 4)",0.8645,0.004656319290465632,296.14512610435486
0,poelm,mnist,2000,0.5,badnet,0,0.5,"(4, 4)",0.5615,0.0004434589800443459,290.43752813339233
0,poelm,mnist,2000,0.1,badnet,0,0.5,"(8, 8)",0.943,0.007427937915742794,278.0750901699066
0,poelm,mnist,2000,0.3,badnet,0,0.5,"(8, 8)",0.8645,0.0033259423503325942,289.41870617866516
0,poelm,mnist,2000,0.5,badnet,0,0.5,"(8, 8)",0.5615,0.0003325942350332594,282.0429358482361
0,poelm,mnist,2000,0.1,badnet,0,1,"(4, 4)",0.943,0.0042128603104212865,281.062646150589
0,poelm,mnist,2000,0.3,badnet,0,1,"(4, 4)",0.8645,0.004656319290465632,282.1382575035095
0,poelm,mnist,2000,0.5,badnet,0,1,"(4, 4)",0.5615,0.0004434589800443459,289.51034212112427
0,poelm,mnist,2000,0.1,badnet,0,1,"(8, 8)",0.943,0.007427937915742794,282.8083999156952
0,poelm,mnist,2000,0.3,badnet,0,1,"(8, 8)",0.8645,0.0033259423503325942,281.9609215259552
0,poelm,mnist,2000,0.5,badnet,0,1,"(8, 8)",0.5615,0.0003325942350332594,287.97201204299927
0,poelm,mnist,2000,0.1,badnet,0,2,"(4, 4)",0.943,0.0042128603104212865,279.49478912353516
0,poelm,mnist,2000,0.3,badnet,0,2,"(4, 4)",0.8645,0.004656319290465632,284.9237632751465
0,poelm,mnist,2000,0.5,badnet,0,2,"(4, 4)",0.5615,0.0004434589800443459,277.5858898162842
0,poelm,mnist,2000,0.1,badnet,0,2,"(8, 8)",0.943,0.007427937915742794,285.14829421043396
0,poelm,mnist,2000,0.3,badnet,0,2,"(8, 8)",0.8645,0.0033259423503325942,280.2365417480469
0,poelm,mnist,2000,0.5,badnet,0,2,"(8, 8)",0.5615,0.0003325942350332594,286.1339147090912
0,poelm,mnist,2000,0.1,badnet,0,5,"(4, 4)",0.943,0.0042128603104212865,284.4636471271515
0,poelm,mnist,2000,0.3,badnet,0,5,"(4, 4)",0.8645,0.004656319290465632,285.8210639953613
0,poelm,mnist,2000,0.5,badnet,0,5,"(4, 4)",0.5615,0.0004434589800443459,284.21076488494873
0,poelm,mnist,2000,0.1,badnet,0,5,"(8, 8)",0.943,0.007427937915742794,286.24788784980774
0,poelm,mnist,2000,0.3,badnet,0,5,"(8, 8)",0.8645,0.0033259423503325942,284.1459107398987
0,poelm,mnist,2000,0.5,badnet,0,5,"(8, 8)",0.5615,0.0003325942350332594,286.5763599872589
