EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,wbcd,500,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.6842105263157895,0.08611583709716797
0,poelm,wbcd,500,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.6842105263157895,0.08868765830993652
0,poelm,wbcd,500,0.5,badnet,0,5.0,"(2, 2)",0.7280701754385965,0.47368421052631576,0.09069180488586426
0,poelm,wbcd,500,0.5,badnet,0,5.0,"(4, 4)",0.7280701754385965,0.47368421052631576,0.09359264373779297
0,poelm,wbcd,500,0.3,badnet,0,5.0,"(2, 2)",0.956140350877193,0.6491228070175439,0.1301884651184082
0,poelm,wbcd,500,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.6842105263157895,0.09551835060119629
0,poelm,wbcd,500,0.3,badnet,0,5.0,"(8, 8)",0.956140350877193,0.6491228070175439,0.11364340782165527
0,poelm,wbcd,500,0.5,badnet,0,5.0,"(8, 8)",0.7280701754385965,0.47368421052631576,0.09362101554870605
0,poelm,wbcd,500,0.3,badnet,0,5.0,"(4, 4)",0.956140350877193,0.6491228070175439,0.1125798225402832
0,poelm,wbcd,1000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.6754385964912281,0.31015491485595703
0,poelm,wbcd,1000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.6754385964912281,0.32967495918273926
0,poelm,wbcd,1000,0.5,badnet,0,5.0,"(2, 2)",0.5263157894736842,0.043859649122807015,0.3326425552368164
0,poelm,wbcd,1000,0.5,badnet,0,5.0,"(4, 4)",0.5263157894736842,0.043859649122807015,0.35114598274230957
0,poelm,wbcd,1000,0.5,badnet,0,5.0,"(8, 8)",0.5263157894736842,0.043859649122807015,0.35947346687316895
0,poelm,wbcd,1000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.6754385964912281,0.35967159271240234
0,poelm,wbcd,1000,0.3,badnet,0,5.0,"(8, 8)",0.9912280701754386,0.5789473684210527,0.40500736236572266
0,poelm,wbcd,1000,0.3,badnet,0,5.0,"(4, 4)",0.9912280701754386,0.5789473684210527,0.447160005569458
0,poelm,wbcd,1000,0.3,badnet,0,5.0,"(2, 2)",0.9912280701754386,0.5789473684210527,0.4226365089416504
0,poelm,wbcd,2000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.6929824561403509,5.246577739715576
0,poelm,wbcd,2000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.6929824561403509,5.778675317764282
0,poelm,wbcd,2000,0.5,badnet,0,5.0,"(2, 2)",0.8771929824561403,0.6052631578947368,5.750885963439941
0,poelm,wbcd,2000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.6929824561403509,5.9713521003723145
0,poelm,wbcd,2000,0.5,badnet,0,5.0,"(4, 4)",0.8771929824561403,0.6052631578947368,6.105072736740112
0,poelm,wbcd,2000,0.5,badnet,0,5.0,"(8, 8)",0.8771929824561403,0.6052631578947368,6.039156675338745
0,poelm,wbcd,2000,0.3,badnet,0,5.0,"(8, 8)",0.9649122807017544,0.6578947368421053,6.071716547012329
0,poelm,wbcd,2000,0.3,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.6578947368421053,5.907198429107666
0,poelm,wbcd,2000,0.3,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.6578947368421053,5.934426546096802
0,poelm,wbcd,5000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.043859649122807015,112.88068079948425
0,poelm,wbcd,5000,0.5,badnet,0,5.0,"(8, 8)",0.4298245614035088,0.0,112.55134749412537
0,poelm,wbcd,5000,0.3,badnet,0,5.0,"(8, 8)",0.9649122807017544,0.5789473684210527,115.28015208244324
0,poelm,wbcd,5000,0.5,badnet,0,5.0,"(2, 2)",0.4298245614035088,0.0,118.98809456825256
0,poelm,wbcd,5000,0.5,badnet,0,5.0,"(4, 4)",0.4298245614035088,0.0,118.86685490608215
0,poelm,wbcd,5000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.043859649122807015,119.73819041252136
0,poelm,wbcd,5000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.043859649122807015,119.5911762714386
0,poelm,wbcd,5000,0.3,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.5789473684210527,120.80950617790222
0,poelm,wbcd,5000,0.3,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.5789473684210527,122.33569979667664
0,poelm,wbcd,8000,0.5,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,447.49545407295227
0,poelm,wbcd,8000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.008771929824561403,451.62825417518616
0,poelm,wbcd,8000,0.3,badnet,0,5.0,"(8, 8)",0.9649122807017544,0.09649122807017543,460.1238024234772
0,poelm,wbcd,8000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,474.78831815719604
0,poelm,wbcd,8000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.008771929824561403,477.3494601249695
0,poelm,wbcd,8000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,480.46194791793823
0,poelm,wbcd,8000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.008771929824561403,481.4550623893738
0,poelm,wbcd,8000,0.3,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.09649122807017543,481.48698472976685
