EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,mlelm,brats,500,badnet,0,0.5,"(2, 2)",0.718274111675127,0.31833910034602075,0.6266772747039795
0,mlelm,brats,500,badnet,0,1.0,"(2, 2)",0.7131979695431473,0.4221453287197232,0.672452449798584
0,mlelm,brats,500,badnet,0,5.0,"(8, 8)",0.7005076142131981,0.8408304498269897,0.664531946182251
0,mlelm,brats,500,badnet,0,2.0,"(2, 2)",0.6852791878172589,0.5813148788927336,0.6817219257354736
0,mlelm,brats,500,badnet,0,5.0,"(4, 4)",0.7385786802030458,0.9377162629757787,0.6721322536468506
0,mlelm,brats,500,badnet,0,0.5,"(8, 8)",0.7233502538071066,0.865051903114187,0.6833972930908203
0,mlelm,brats,500,badnet,0,1.0,"(8, 8)",0.718274111675127,0.7923875432525952,0.6938126087188721
0,mlelm,brats,500,badnet,0,2.0,"(4, 4)",0.7842639593908631,0.9169550173010382,0.7508697509765625
0,mlelm,brats,500,badnet,0,2.0,"(8, 8)",0.7487309644670052,0.8858131487889276,0.6960058212280273
0,mlelm,brats,500,badnet,0,1.0,"(4, 4)",0.7208121827411168,0.768166089965398,0.7656679153442383
0,mlelm,brats,500,badnet,0,0.5,"(4, 4)",0.7131979695431473,0.8685121107266438,0.7514185905456543
0,mlelm,brats,500,badnet,0,5.0,"(2, 2)",0.6954314720812182,0.8304498269896194,1.0447993278503418
0,mlelm,brats,1000,badnet,0,5.0,"(8, 8)",0.751269035532995,0.795847750865052,1.427480697631836
0,mlelm,brats,1000,badnet,0,0.5,"(2, 2)",0.7639593908629443,0.24567474048442905,1.463261604309082
0,mlelm,brats,1000,badnet,0,5.0,"(4, 4)",0.7715736040609138,0.9377162629757787,1.458202838897705
0,mlelm,brats,1000,badnet,0,1.0,"(2, 2)",0.7284263959390864,0.39100346020761245,1.459153652191162
0,mlelm,brats,1000,badnet,0,2.0,"(2, 2)",0.6954314720812184,0.6055363321799309,1.4786086082458496
0,mlelm,brats,1000,badnet,0,0.5,"(8, 8)",0.7131979695431473,0.6401384083044983,1.5004534721374512
0,mlelm,brats,1000,badnet,0,1.0,"(8, 8)",0.7563451776649747,0.7647058823529413,1.5023996829986572
0,mlelm,brats,1000,badnet,0,2.0,"(8, 8)",0.7538071065989849,0.8096885813148791,1.5140414237976074
0,mlelm,brats,1000,badnet,0,2.0,"(4, 4)",0.7360406091370559,0.8131487889273358,1.6830954551696777
0,mlelm,brats,1000,badnet,0,1.0,"(4, 4)",0.7538071065989849,0.7335640138408306,1.6136741638183594
0,mlelm,brats,1000,badnet,0,0.5,"(4, 4)",0.7664974619289341,0.7993079584775087,1.6651928424835205
0,mlelm,brats,1000,badnet,0,5.0,"(2, 2)",0.7081218274111676,0.7958477508650521,2.2052152156829834
0,mlelm,brats,2000,badnet,0,5.0,"(8, 8)",0.7233502538071067,0.7612456747404845,7.177396535873413
0,mlelm,brats,2000,badnet,0,5.0,"(4, 4)",0.7690355329949239,0.8200692041522493,7.844029664993286
0,mlelm,brats,2000,badnet,0,5.0,"(2, 2)",0.7131979695431473,0.7508650519031144,9.994603157043457
0,mlelm,brats,2000,badnet,0,1.0,"(8, 8)",0.7538071065989849,0.8062283737024223,11.4240243434906
0,mlelm,brats,2000,badnet,0,0.5,"(8, 8)",0.7385786802030458,0.5536332179930796,11.548193216323853
0,mlelm,brats,2000,badnet,0,2.0,"(2, 2)",0.7639593908629443,0.5224913494809689,11.980785131454468
0,mlelm,brats,2000,badnet,0,1.0,"(2, 2)",0.769035532994924,0.4463667820069205,11.969443559646606
0,mlelm,brats,2000,badnet,0,0.5,"(2, 2)",0.7309644670050762,0.38408304498269896,12.100642681121826
0,mlelm,brats,2000,badnet,0,2.0,"(8, 8)",0.7588832487309646,0.7785467128027683,12.359422445297241
0,mlelm,brats,2000,badnet,0,0.5,"(4, 4)",0.7918781725888326,0.7785467128027682,12.265506505966187
