EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,brats,500,badnet,0,0.5,"(4, 4)",0.6979695431472082,0.7370242214532872,8.211639404296875
0,poelm,brats,500,badnet,0,0.5,"(2, 2)",0.7081218274111675,0.532871972318339,8.781516551971436
0,poelm,brats,1000,badnet,0,0.5,"(4, 4)",0.7741116751269036,0.7231833910034602,17.16083312034607
0,poelm,brats,1000,badnet,0,0.5,"(2, 2)",0.7791878172588832,0.7231833910034602,17.857276916503906
0,poelm,brats,2000,badnet,0,0.5,"(4, 4)",0.7690355329949239,0.7750865051903114,34.555739641189575
0,poelm,brats,2000,badnet,0,0.5,"(2, 2)",0.7817258883248731,0.698961937716263,36.1887731552124
0,poelm,brats,5000,badnet,0,0.5,"(4, 4)",0.7741116751269036,0.7197231833910035,141.13253927230835
0,poelm,brats,5000,badnet,0,0.5,"(2, 2)",0.7741116751269036,0.7647058823529411,139.10823369026184
0,poelm,brats,8000,badnet,0,0.5,"(4, 4)",0.7944162436548223,0.7993079584775087,372.3093454837799
0,poelm,brats,500,badnet,0,0.5,"(8, 8)",0.7030456852791879,0.6955017301038062,8.202550411224365
0,poelm,brats,8000,badnet,0,0.5,"(2, 2)",0.7817258883248731,0.8166089965397924,378.772753238678
0,poelm,brats,1000,badnet,0,0.5,"(8, 8)",0.7614213197969543,0.7335640138408305,14.543218612670898
0,poelm,brats,500,badnet,0,1.0,"(2, 2)",0.7055837563451777,0.726643598615917,11.168449878692627
0,poelm,brats,2000,badnet,0,0.5,"(8, 8)",0.7715736040609137,0.8062283737024222,33.68474745750427
0,poelm,brats,1000,badnet,0,1.0,"(2, 2)",0.7817258883248731,0.8269896193771626,16.783416748046875
0,poelm,brats,2000,badnet,0,1.0,"(2, 2)",0.7969543147208121,0.7716262975778547,42.889244556427
0,poelm,brats,5000,badnet,0,0.5,"(8, 8)",0.7766497461928934,0.7716262975778547,133.2268168926239
0,poelm,brats,5000,badnet,0,1.0,"(2, 2)",0.7715736040609137,0.8373702422145328,135.80954337120056
0,poelm,brats,8000,badnet,0,0.5,"(8, 8)",0.7766497461928934,0.7889273356401384,358.8836200237274
0,poelm,brats,500,badnet,0,1.0,"(4, 4)",0.7131979695431472,0.7750865051903114,7.845130205154419
0,poelm,brats,1000,badnet,0,1.0,"(4, 4)",0.7639593908629442,0.7785467128027682,14.570774793624878
0,poelm,brats,8000,badnet,0,1.0,"(2, 2)",0.799492385786802,0.8823529411764706,359.57532715797424
0,poelm,brats,2000,badnet,0,1.0,"(4, 4)",0.7893401015228426,0.7716262975778547,31.63527011871338
0,poelm,brats,500,badnet,0,1.0,"(8, 8)",0.7081218274111675,0.7335640138408305,7.788900136947632
0,poelm,brats,1000,badnet,0,1.0,"(8, 8)",0.7690355329949239,0.7750865051903114,22.684081554412842
0,poelm,brats,2000,badnet,0,1.0,"(8, 8)",0.7944162436548223,0.7889273356401384,40.34943890571594
0,poelm,brats,5000,badnet,0,1.0,"(4, 4)",0.7715736040609137,0.8062283737024222,120.70266819000244
0,poelm,brats,5000,badnet,0,1.0,"(8, 8)",0.7741116751269036,0.7093425605536332,143.7216649055481
0,poelm,brats,8000,badnet,0,1.0,"(4, 4)",0.799492385786802,0.8235294117647058,332.91488099098206
0,poelm,brats,500,badnet,0,2.0,"(2, 2)",0.7081218274111675,0.8442906574394463,12.397848844528198
0,poelm,brats,1000,badnet,0,2.0,"(2, 2)",0.7766497461928934,0.8200692041522492,18.594257593154907
0,poelm,brats,2000,badnet,0,2.0,"(2, 2)",0.7868020304568528,0.7993079584775087,32.72276544570923
0,poelm,brats,8000,badnet,0,1.0,"(8, 8)",0.8020304568527918,0.7820069204152249,339.0143976211548
0,poelm,brats,500,badnet,0,2.0,"(4, 4)",0.7081218274111675,0.7889273356401384,9.74222731590271
0,poelm,brats,1000,badnet,0,2.0,"(4, 4)",0.7614213197969543,0.7716262975778547,26.123372077941895
0,poelm,brats,5000,badnet,0,2.0,"(2, 2)",0.7741116751269036,0.8581314878892734,120.31757259368896
0,poelm,brats,2000,badnet,0,2.0,"(4, 4)",0.7944162436548223,0.7785467128027682,40.56125450134277
0,poelm,brats,5000,badnet,0,2.0,"(4, 4)",0.7842639593908629,0.7750865051903114,133.44440150260925
0,poelm,brats,8000,badnet,0,2.0,"(2, 2)",0.8020304568527918,0.8788927335640139,321.2447860240936
0,poelm,brats,500,badnet,0,2.0,"(8, 8)",0.7258883248730964,0.8546712802768166,9.089819192886353
0,poelm,brats,1000,badnet,0,2.0,"(8, 8)",0.7588832487309645,0.8477508650519031,25.345165967941284
0,poelm,brats,2000,badnet,0,2.0,"(8, 8)",0.7842639593908629,0.7647058823529411,46.89586067199707
0,poelm,brats,8000,badnet,0,2.0,"(4, 4)",0.7969543147208121,0.8754325259515571,340.55647587776184
0,poelm,brats,500,badnet,0,5.0,"(2, 2)",0.700507614213198,0.8788927335640139,9.589268684387207
0,poelm,brats,5000,badnet,0,2.0,"(8, 8)",0.7715736040609137,0.7647058823529411,119.0824830532074
0,poelm,brats,1000,badnet,0,5.0,"(2, 2)",0.7588832487309645,0.8131487889273357,27.67478847503662
0,poelm,brats,2000,badnet,0,5.0,"(2, 2)",0.7766497461928934,0.8027681660899654,37.046297550201416
0,poelm,brats,5000,badnet,0,5.0,"(2, 2)",0.7893401015228426,0.8062283737024222,160.48704385757446
0,poelm,brats,8000,badnet,0,2.0,"(8, 8)",0.7944162436548223,0.8512110726643599,328.3791103363037
0,poelm,brats,500,badnet,0,5.0,"(4, 4)",0.7081218274111675,0.8062283737024222,8.36875295639038
0,poelm,brats,1000,badnet,0,5.0,"(4, 4)",0.7411167512690355,0.8200692041522492,16.77354645729065
0,poelm,brats,2000,badnet,0,5.0,"(4, 4)",0.7918781725888325,0.7681660899653979,49.711585998535156
0,poelm,brats,8000,badnet,0,5.0,"(2, 2)",0.8096446700507615,0.8512110726643599,320.1934869289398
0,poelm,brats,5000,badnet,0,5.0,"(4, 4)",0.7842639593908629,0.8408304498269896,133.8026041984558
0,poelm,brats,500,badnet,0,5.0,"(8, 8)",0.700507614213198,0.8754325259515571,7.616654872894287
0,poelm,brats,1000,badnet,0,5.0,"(8, 8)",0.7563451776649747,0.8996539792387543,23.72304368019104
0,poelm,brats,2000,badnet,0,5.0,"(8, 8)",0.7842639593908629,0.7335640138408305,44.34188199043274
0,poelm,brats,5000,badnet,0,5.0,"(8, 8)",0.7741116751269036,0.8408304498269896,151.69197416305542
0,poelm,brats,8000,badnet,0,5.0,"(4, 4)",0.8096446700507615,0.903114186851211,328.50291085243225
0,poelm,brats,8000,badnet,0,5.0,"(8, 8)",0.799492385786802,0.8581314878892734,290.8954176902771
