EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,telm,brats,500,badnet,0,0.5,"(2, 2)",0.7005076142131981,0.5432525951557095,0.5717775821685791
0,telm,brats,1000,badnet,0,0.5,"(2, 2)",0.733502538071066,0.5017301038062284,1.8936192989349365
0,telm,brats,2000,badnet,0,0.5,"(2, 2)",0.7106598984771575,0.5743944636678201,13.149022817611694
0,telm,brats,500,badnet,0,0.5,"(4, 4)",0.6725888324873097,0.8685121107266438,1.091308355331421
0,telm,brats,1000,badnet,0,0.5,"(4, 4)",0.7208121827411169,0.5882352941176471,3.4217913150787354
0,telm,brats,2000,badnet,0,0.5,"(4, 4)",0.7106598984771575,0.7197231833910036,21.948533535003662
0,telm,brats,5000,badnet,0,0.5,"(2, 2)",0.7436548223350254,0.7612456747404845,222.52062916755676
0,telm,brats,5000,badnet,0,0.5,"(4, 4)",0.733502538071066,0.7750865051903115,267.47157168388367
0,telm,brats,500,badnet,0,0.5,"(8, 8)",0.7131979695431473,0.4290657439446367,0.5773141384124756
0,telm,brats,1000,badnet,0,0.5,"(8, 8)",0.685279187817259,0.46366782006920415,1.9167721271514893
0,telm,brats,2000,badnet,0,0.5,"(8, 8)",0.7131979695431473,0.4463667820069205,14.405689477920532
0,telm,brats,500,badnet,0,1.0,"(2, 2)",0.7081218274111676,0.6608996539792389,0.6313459873199463
0,telm,brats,1000,badnet,0,1.0,"(2, 2)",0.7157360406091371,0.5743944636678201,2.013141632080078
0,telm,brats,5000,badnet,0,0.5,"(8, 8)",0.7563451776649747,0.8373702422145329,195.63989233970642
0,telm,brats,2000,badnet,0,1.0,"(2, 2)",0.703045685279188,0.6608996539792389,11.111030101776123
0,telm,brats,500,badnet,0,1.0,"(4, 4)",0.733502538071066,0.7508650519031144,1.145707607269287
0,telm,brats,1000,badnet,0,1.0,"(4, 4)",0.7258883248730965,0.5813148788927336,6.858081817626953
0,telm,brats,2000,badnet,0,1.0,"(4, 4)",0.6878172588832488,0.7024221453287198,21.620074033737183
0,telm,brats,500,badnet,0,1.0,"(8, 8)",0.7208121827411169,0.5501730103806228,0.6879844665527344
0,telm,brats,1000,badnet,0,1.0,"(8, 8)",0.718274111675127,0.5190311418685122,2.415567398071289
0,telm,brats,2000,badnet,0,1.0,"(8, 8)",0.7030456852791879,0.31833910034602075,15.476550340652466
0,telm,brats,500,badnet,0,2.0,"(2, 2)",0.703045685279188,0.71280276816609,0.6181344985961914
0,telm,brats,500,badnet,0,2.0,"(4, 4)",0.7055837563451777,0.809688581314879,0.7817182540893555
0,telm,brats,1000,badnet,0,2.0,"(2, 2)",0.7258883248730965,0.6332179930795848,2.615192413330078
0,telm,brats,1000,badnet,0,2.0,"(4, 4)",0.7258883248730965,0.5951557093425606,2.589423418045044
0,telm,brats,5000,badnet,0,1.0,"(2, 2)",0.7614213197969544,0.7439446366782008,244.28356981277466
0,telm,brats,2000,badnet,0,2.0,"(2, 2)",0.6954314720812184,0.6747404844290659,22.053611278533936
0,telm,brats,2000,badnet,0,2.0,"(4, 4)",0.7055837563451778,0.6505190311418686,21.721434593200684
0,telm,brats,8000,badnet,0,0.5,"(2, 2)",0.7664974619289342,0.948096885813149,1101.826129436493
0,telm,brats,500,badnet,0,2.0,"(8, 8)",0.7005076142131981,0.7923875432525953,0.6461400985717773
0,telm,brats,1000,badnet,0,2.0,"(8, 8)",0.7081218274111676,0.49134948096885817,2.074599266052246
0,telm,brats,5000,badnet,0,1.0,"(4, 4)",0.7436548223350256,0.7993079584775087,339.88290572166443
0,telm,brats,2000,badnet,0,2.0,"(8, 8)",0.7131979695431473,0.5121107266435987,14.771161317825317
0,telm,brats,500,badnet,0,5.0,"(2, 2)",0.6725888324873097,0.8269896193771628,1.057295560836792
0,telm,brats,5000,badnet,0,1.0,"(8, 8)",0.7385786802030458,0.8408304498269897,256.75520396232605
0,telm,brats,8000,badnet,0,0.5,"(4, 4)",0.7563451776649748,0.892733564013841,939.3304669857025
0,telm,brats,1000,badnet,0,5.0,"(2, 2)",0.7055837563451778,0.6747404844290659,2.8254427909851074
0,telm,brats,5000,badnet,0,2.0,"(4, 4)",0.7335025380710661,0.7750865051903115,204.71843028068542
0,telm,brats,5000,badnet,0,2.0,"(2, 2)",0.7436548223350254,0.7231833910034603,211.33119821548462
0,telm,brats,500,badnet,0,5.0,"(4, 4)",0.6776649746192893,0.8027681660899655,1.1686522960662842
