EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,telm,mnist,500,badnet,0,0.5,"(4, 4)",0.9172000000000002,0.5727272727272728,26.152766227722168
0,telm,mnist,500,badnet,0,1.0,"(2, 2)",0.9175000000000002,0.3783813747228381,26.184061527252197
0,telm,mnist,500,badnet,0,2.0,"(2, 2)",0.9158000000000003,0.7597560975609757,26.757179975509644
0,telm,mnist,500,badnet,0,1.0,"(4, 4)",0.9160000000000003,0.8553215077605322,26.7989182472229
0,telm,mnist,500,badnet,0,0.5,"(8, 8)",0.9174000000000003,0.9232815964523282,26.702786445617676
0,telm,mnist,500,badnet,0,0.5,"(2, 2)",0.9173000000000002,0.09257206208425721,26.7748966217041
0,telm,mnist,500,badnet,0,1.0,"(8, 8)",0.9163000000000002,0.9776053215077606,26.98779273033142
0,telm,mnist,500,badnet,0,2.0,"(4, 4)",0.9158000000000003,0.9645232815964524,4.715438365936279
0,telm,mnist,1000,badnet,0,2.0,"(4, 4)",0.9332000000000003,0.985920177383592,13.565247774124146
0,telm,mnist,1000,badnet,0,0.5,"(4, 4)",0.9310000000000003,0.811640798226164,2464.8029556274414
0,telm,mnist,1000,badnet,0,0.5,"(8, 8)",0.9352000000000003,0.9761640798226164,2319.625077724457
0,telm,mnist,1000,badnet,0,0.5,"(2, 2)",0.9301000000000004,0.22494456762749448,2466.62500500679
0,telm,mnist,1000,badnet,0,2.0,"(2, 2)",0.9307000000000002,0.8655210643015521,2466.8891184329987
0,telm,mnist,1000,badnet,0,1.0,"(2, 2)",0.9308000000000002,0.5902439024390244,2468.9115273952484
0,telm,mnist,1000,badnet,0,1.0,"(4, 4)",0.9316000000000002,0.9432372505543238,2468.781127691269
0,telm,mnist,1000,badnet,0,1.0,"(8, 8)",0.9353000000000004,0.9931263858093126,2468.3147411346436
0,telm,mnist,2000,badnet,0,2.0,"(4, 4)",0.8560000000000003,0.9955654101995567,2440.9249527454376
0,telm,mnist,2000,badnet,0,0.5,"(8, 8)",0.7606000000000002,0.9992239467849224,4213.457696437836
0,telm,mnist,2000,badnet,0,0.5,"(4, 4)",0.8276000000000002,0.9789356984478936,4206.575036048889
0,telm,mnist,2000,badnet,0,2.0,"(2, 2)",0.8473000000000002,0.9851441241685145,4217.328955888748
0,telm,mnist,2000,badnet,0,1.0,"(2, 2)",0.8632000000000003,0.9461197339246119,4223.717346668243
0,telm,mnist,2000,badnet,0,1.0,"(4, 4)",0.8491000000000003,0.990909090909091,4247.359696865082
0,telm,mnist,2000,badnet,0,0.5,"(2, 2)",0.8583000000000003,0.807649667405765,4256.560407876968
0,telm,mnist,2000,badnet,0,1.0,"(8, 8)",0.7891000000000002,0.9998891352549889,4246.938606739044
0,telm,mnist,5000,badnet,0,2.0,"(4, 4)",0.9676000000000002,0.9994456762749445,8256.31549024582
0,telm,mnist,5000,badnet,0,1.0,"(4, 4)",0.9674000000000003,0.9978935698447894,7671.025995016098
0,telm,mnist,5000,badnet,0,1.0,"(8, 8)",0.9679000000000002,0.9998891352549889,7773.081072330475
0,telm,mnist,5000,badnet,0,1.0,"(2, 2)",0.9677000000000004,0.9893569844789357,7730.5595626831055
0,telm,mnist,5000,badnet,0,0.5,"(4, 4)",0.9676000000000002,0.9925720620842573,7698.05895280838
0,telm,mnist,5000,badnet,0,2.0,"(2, 2)",0.9674000000000003,0.9951219512195122,7657.419140100479
