EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,mlelm,wbcd,500,badnet,0,0.5,"(2, 2)",0.9561403508771931,0.8157894736842105,0.17782902717590332
0,mlelm,wbcd,500,badnet,0,2.0,"(8, 8)",0.9561403508771931,0.9561403508771931,0.17702078819274902
0,mlelm,wbcd,500,badnet,0,5.0,"(4, 4)",0.9736842105263157,0.9736842105263157,0.17742657661437988
0,mlelm,wbcd,500,badnet,0,5.0,"(8, 8)",0.9736842105263157,0.9736842105263157,0.17730021476745605
0,mlelm,wbcd,500,badnet,0,1.0,"(2, 2)",0.9824561403508771,0.9561403508771931,0.18100905418395996
0,mlelm,wbcd,500,badnet,0,2.0,"(2, 2)",0.9561403508771931,0.9561403508771931,0.18146800994873047
0,mlelm,wbcd,500,badnet,0,0.5,"(8, 8)",0.9561403508771931,0.8157894736842105,0.17899107933044434
0,mlelm,wbcd,500,badnet,0,1.0,"(8, 8)",0.9824561403508771,0.9561403508771931,0.18500065803527832
0,mlelm,wbcd,500,badnet,0,2.0,"(4, 4)",0.9561403508771931,0.9561403508771931,0.22011184692382812
0,mlelm,wbcd,500,badnet,0,5.0,"(2, 2)",0.9736842105263157,0.9736842105263157,0.2671852111816406
0,mlelm,wbcd,500,badnet,0,1.0,"(4, 4)",0.9824561403508771,0.9561403508771931,0.22783827781677246
0,mlelm,wbcd,500,badnet,0,0.5,"(4, 4)",0.9561403508771931,0.8157894736842105,0.2575368881225586
0,mlelm,wbcd,1000,badnet,0,5.0,"(4, 4)",0.9824561403508771,0.9824561403508771,0.6440954208374023
0,mlelm,wbcd,1000,badnet,0,5.0,"(8, 8)",0.9824561403508771,0.9824561403508771,0.6482560634613037
0,mlelm,wbcd,1000,badnet,0,2.0,"(8, 8)",0.9912280701754386,1.0,0.6535665988922119
0,mlelm,wbcd,1000,badnet,0,1.0,"(2, 2)",0.9824561403508771,0.9912280701754386,0.6541471481323242
0,mlelm,wbcd,1000,badnet,0,0.5,"(2, 2)",0.9649122807017544,0.9210526315789473,0.6617648601531982
0,mlelm,wbcd,1000,badnet,0,0.5,"(8, 8)",0.9649122807017544,0.9210526315789473,0.6631255149841309
0,mlelm,wbcd,1000,badnet,0,2.0,"(2, 2)",0.9912280701754386,1.0,0.6748151779174805
0,mlelm,wbcd,1000,badnet,0,1.0,"(8, 8)",0.9824561403508771,0.9912280701754386,0.6799395084381104
0,mlelm,wbcd,1000,badnet,0,2.0,"(4, 4)",0.9912280701754386,1.0,0.853118896484375
0,mlelm,wbcd,1000,badnet,0,1.0,"(4, 4)",0.9824561403508771,0.9912280701754386,0.7795248031616211
0,mlelm,wbcd,1000,badnet,0,0.5,"(4, 4)",0.9649122807017544,0.9210526315789473,0.841357946395874
0,mlelm,wbcd,1000,badnet,0,5.0,"(2, 2)",0.9824561403508771,0.9824561403508771,1.208648443222046
0,mlelm,wbcd,2000,badnet,0,5.0,"(8, 8)",0.9824561403508771,0.9824561403508771,5.407335042953491
0,mlelm,wbcd,2000,badnet,0,5.0,"(4, 4)",0.9824561403508771,0.9824561403508771,6.676433563232422
0,mlelm,wbcd,2000,badnet,0,5.0,"(2, 2)",0.9824561403508771,0.9824561403508771,8.438518762588501
0,mlelm,wbcd,2000,badnet,0,1.0,"(2, 2)",0.9736842105263158,0.9824561403508771,9.745564937591553
0,mlelm,wbcd,2000,badnet,0,2.0,"(8, 8)",0.9824561403508771,1.0,10.085955142974854
