EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,telm,wbcd,500,badnet,0,0.5,"(2, 2)",0.7631578947368421,0.3157894736842105,0.22089648246765137
0,telm,wbcd,1000,badnet,0,0.5,"(2, 2)",0.8333333333333333,0.5614035087719298,53.504244327545166
0,telm,wbcd,2000,badnet,0,0.5,"(2, 2)",0.8157894736842106,0.5526315789473684,432.20446276664734
0,telm,wbcd,5000,badnet,0,0.5,"(2, 2)",0.8859649122807018,0.22807017543859648,2055.157448530197
0,telm,wbcd,8000,badnet,0,0.5,"(2, 2)",0.8157894736842106,0.3157894736842105,3423.6051857471466
0,telm,wbcd,500,badnet,0,0.5,"(8, 8)",0.7631578947368421,0.3157894736842105,0.2112421989440918
0,telm,wbcd,500,badnet,0,0.5,"(4, 4)",0.7631578947368421,0.3157894736842105,0.21187067031860352
0,telm,wbcd,1000,badnet,0,0.5,"(8, 8)",0.8333333333333333,0.5614035087719298,0.8913965225219727
0,telm,wbcd,1000,badnet,0,0.5,"(4, 4)",0.8333333333333333,0.5614035087719298,0.9099564552307129
0,telm,wbcd,2000,badnet,0,0.5,"(8, 8)",0.8157894736842106,0.5526315789473684,8.434745073318481
0,telm,wbcd,2000,badnet,0,0.5,"(4, 4)",0.8157894736842106,0.5526315789473684,8.520986080169678
0,telm,wbcd,5000,badnet,0,0.5,"(8, 8)",0.8859649122807018,0.22807017543859648,195.81582283973694
0,telm,wbcd,5000,badnet,0,0.5,"(4, 4)",0.8859649122807018,0.22807017543859648,196.37242579460144
0,telm,wbcd,8000,badnet,0,0.5,"(4, 4)",0.8157894736842106,0.3157894736842105,864.0109848976135
0,telm,wbcd,8000,badnet,0,0.5,"(8, 8)",0.8157894736842106,0.3157894736842105,866.4396750926971
0,telm,wbcd,500,badnet,0,1.0,"(2, 2)",0.7543859649122807,0.27192982456140347,0.23668622970581055
0,telm,wbcd,500,badnet,0,1.0,"(4, 4)",0.7543859649122807,0.27192982456140347,0.24065351486206055
0,telm,wbcd,1000,badnet,0,1.0,"(2, 2)",0.8333333333333333,0.5526315789473685,0.9894375801086426
0,telm,wbcd,1000,badnet,0,1.0,"(4, 4)",0.8333333333333333,0.5526315789473685,0.9956402778625488
0,telm,wbcd,2000,badnet,0,1.0,"(2, 2)",0.8245614035087719,0.8421052631578947,9.395090341567993
0,telm,wbcd,2000,badnet,0,1.0,"(4, 4)",0.8245614035087719,0.8421052631578947,9.519471406936646
0,telm,wbcd,5000,badnet,0,1.0,"(2, 2)",0.8508771929824561,0.2543859649122807,190.81743907928467
0,telm,wbcd,5000,badnet,0,1.0,"(4, 4)",0.8508771929824561,0.2543859649122807,191.8184416294098
0,telm,wbcd,500,badnet,0,1.0,"(8, 8)",0.7543859649122807,0.27192982456140347,0.42688751220703125
0,telm,wbcd,1000,badnet,0,1.0,"(8, 8)",0.8333333333333333,0.5526315789473685,2.1640682220458984
0,telm,wbcd,2000,badnet,0,1.0,"(8, 8)",0.8245614035087719,0.8421052631578947,18.11171054840088
0,telm,wbcd,8000,badnet,0,1.0,"(2, 2)",0.8245614035087719,0.3771929824561403,783.0518209934235
0,telm,wbcd,500,badnet,0,2.0,"(2, 2)",0.7105263157894737,0.2982456140350877,0.23091340065002441
0,telm,wbcd,8000,badnet,0,1.0,"(4, 4)",0.8245614035087719,0.3771929824561403,802.4350204467773
0,telm,wbcd,1000,badnet,0,2.0,"(2, 2)",0.8508771929824561,0.5263157894736843,0.9515535831451416
0,telm,wbcd,2000,badnet,0,2.0,"(2, 2)",0.7982456140350878,0.587719298245614,9.101424217224121
0,telm,wbcd,500,badnet,0,2.0,"(4, 4)",0.7105263157894737,0.2982456140350877,0.2311406135559082
0,telm,wbcd,1000,badnet,0,2.0,"(4, 4)",0.8508771929824561,0.5263157894736843,1.0150141716003418
0,telm,wbcd,5000,badnet,0,1.0,"(8, 8)",0.8508771929824561,0.2543859649122807,133.40391182899475
0,telm,wbcd,2000,badnet,0,2.0,"(4, 4)",0.7982456140350878,0.587719298245614,9.964247465133667
0,telm,wbcd,500,badnet,0,2.0,"(8, 8)",0.7105263157894737,0.2982456140350877,0.22309350967407227
0,telm,wbcd,1000,badnet,0,2.0,"(8, 8)",0.8508771929824561,0.5263157894736843,0.9642419815063477
0,telm,wbcd,2000,badnet,0,2.0,"(8, 8)",0.7982456140350878,0.587719298245614,9.005096435546875
0,telm,wbcd,500,badnet,0,5.0,"(2, 2)",0.7280701754385965,0.543859649122807,0.21068406105041504
0,telm,wbcd,1000,badnet,0,5.0,"(2, 2)",0.8245614035087719,0.543859649122807,0.9559557437896729
0,telm,wbcd,2000,badnet,0,5.0,"(2, 2)",0.8508771929824561,0.5526315789473684,9.846815586090088
0,telm,wbcd,5000,badnet,0,2.0,"(2, 2)",0.8421052631578947,0.45614035087719296,174.17469334602356
0,telm,wbcd,500,badnet,0,5.0,"(4, 4)",0.7280701754385965,0.543859649122807,0.5123095512390137
0,telm,wbcd,1000,badnet,0,5.0,"(4, 4)",0.8245614035087719,0.543859649122807,1.7071361541748047
