EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,mnist,500,badnet,0,50.0,"(4, 4)",0.953,1.0
0,mnist,500,badnet,0,100.0,"(4, 4)",0.1137,0.0
0,mnist,500,badnet,0,5.0,"(4, 4)",0.9536,1.0
0,mnist,500,badnet,0,5.0,"(2, 2)",0.9533,1.0
0,mnist,500,badnet,0,100.0,"(2, 2)",0.1135,0.0
0,mnist,500,badnet,0,50.0,"(2, 2)",0.9517,1.0
0,mnist,500,badnet,0,100.0,"(8, 8)",0.2086,0.0
0,mnist,500,badnet,0,5.0,"(8, 8)",0.9534,1.0
0,mnist,500,badnet,0,50.0,"(8, 8)",0.9519,1.0
0,mnist,1000,badnet,0,5.0,"(4, 4)",0.9624,1.0
0,mnist,1000,badnet,0,100.0,"(4, 4)",0.1721,0.0
0,mnist,1000,badnet,0,100.0,"(2, 2)",0.1643,0.0
0,mnist,1000,badnet,0,50.0,"(4, 4)",0.9618,1.0
0,mnist,1000,badnet,0,5.0,"(2, 2)",0.9635,1.0
0,mnist,1000,badnet,0,50.0,"(2, 2)",0.9626,1.0
0,mnist,1000,badnet,0,100.0,"(8, 8)",0.2365,0.0
0,mnist,1000,badnet,0,5.0,"(8, 8)",0.9625,1.0
0,mnist,1000,badnet,0,50.0,"(8, 8)",0.9614,1.0
0,mnist,2000,badnet,0,5.0,"(4, 4)",0.9711,1.0
0,mnist,2000,badnet,0,50.0,"(4, 4)",0.9711,1.0
0,mnist,2000,badnet,0,5.0,"(2, 2)",0.9712,1.0
0,mnist,2000,badnet,0,100.0,"(2, 2)",0.1822,0.0
0,mnist,2000,badnet,0,50.0,"(2, 2)",0.97,1.0
0,mnist,2000,badnet,0,100.0,"(4, 4)",0.1936,0.0
0,mnist,2000,badnet,0,5.0,"(8, 8)",0.9721,1.0
0,mnist,2000,badnet,0,100.0,"(8, 8)",0.3363,0.0
0,mnist,2000,badnet,0,50.0,"(8, 8)",0.9702,1.0
0,mnist,5000,badnet,0,5.0,"(4, 4)",0.9786,1.0
0,mnist,5000,badnet,0,50.0,"(4, 4)",0.9784,1.0
0,mnist,5000,badnet,0,5.0,"(2, 2)",0.9789,1.0
0,mnist,5000,badnet,0,50.0,"(2, 2)",0.9789,1.0
0,mnist,5000,badnet,0,100.0,"(4, 4)",0.2316,0.0
0,mnist,5000,badnet,0,100.0,"(2, 2)",0.2347,0.0
0,mnist,5000,badnet,0,5.0,"(8, 8)",0.9786,1.0
0,mnist,5000,badnet,0,100.0,"(8, 8)",0.5696,0.0
0,mnist,5000,badnet,0,50.0,"(8, 8)",0.9781,1.0
0,mnist,8000,badnet,0,5.0,"(4, 4)",0.9819,1.0
0,mnist,8000,badnet,0,5.0,"(2, 2)",0.9821,1.0
0,mnist,8000,badnet,0,50.0,"(4, 4)",0.9803,1.0
0,mnist,8000,badnet,0,100.0,"(8, 8)",0.4803,0.0
0,mnist,8000,badnet,0,100.0,"(4, 4)",0.4116,0.0
0,mnist,8000,badnet,0,100.0,"(2, 2)",0.3271,0.0
0,mnist,8000,badnet,0,50.0,"(2, 2)",0.9811,1.0
0,mnist,8000,badnet,0,50.0,"(8, 8)",0.9806,1.0
0,mnist,8000,badnet,0,5.0,"(8, 8)",0.9823,1.0
0,fmnist,500,badnet,0,5.0,"(2, 2)",0.8678,0.9997777777777778
0,fmnist,500,badnet,0,5.0,"(4, 4)",0.8684,1.0
0,fmnist,1000,badnet,0,5.0,"(2, 2)",0.8752,0.9998888888888889
0,fmnist,1000,badnet,0,5.0,"(4, 4)",0.8754,0.9998888888888889
0,fmnist,2000,badnet,0,5.0,"(2, 2)",0.8804,1.0
0,fmnist,2000,badnet,0,5.0,"(4, 4)",0.8829,0.9994444444444445
0,fmnist,500,badnet,0,5.0,"(8, 8)",0.8685,0.9997777777777778
0,fmnist,500,badnet,0,50.0,"(8, 8)",0.8621,0.9998888888888889
0,fmnist,500,badnet,0,50.0,"(4, 4)",0.8626,1.0
0,fmnist,500,badnet,0,100.0,"(2, 2)",0.3291,0.0
0,fmnist,500,badnet,0,50.0,"(2, 2)",0.8601,1.0
0,fmnist,1000,badnet,0,5.0,"(8, 8)",0.8777,0.9998888888888889
0,fmnist,500,badnet,0,100.0,"(8, 8)",0.4677,0.0
0,fmnist,500,badnet,0,100.0,"(4, 4)",0.2589,0.0
0,fmnist,1000,badnet,0,50.0,"(8, 8)",0.8723,1.0
0,fmnist,1000,badnet,0,50.0,"(4, 4)",0.8702,1.0
0,fmnist,1000,badnet,0,50.0,"(2, 2)",0.8702,1.0
0,fmnist,1000,badnet,0,100.0,"(2, 2)",0.2752,0.0
0,fmnist,1000,badnet,0,100.0,"(8, 8)",0.5296,0.0
0,fmnist,1000,badnet,0,100.0,"(4, 4)",0.1752,0.0
0,fmnist,2000,badnet,0,5.0,"(8, 8)",0.8833,1.0
0,fmnist,2000,badnet,0,50.0,"(2, 2)",0.8808,0.9998888888888889
0,fmnist,2000,badnet,0,50.0,"(4, 4)",0.8792,1.0
0,fmnist,2000,badnet,0,50.0,"(8, 8)",0.8774,1.0
0,fmnist,5000,badnet,0,5.0,"(4, 4)",0.8911,1.0
0,fmnist,2000,badnet,0,100.0,"(2, 2)",0.1608,0.0
0,fmnist,5000,badnet,0,5.0,"(2, 2)",0.8945,0.9952222222222222
0,fmnist,2000,badnet,0,100.0,"(8, 8)",0.5683,1.0
0,fmnist,2000,badnet,0,100.0,"(4, 4)",0.1368,0.0
0,fmnist,5000,badnet,0,50.0,"(4, 4)",0.8898,0.9998888888888889
0,fmnist,5000,badnet,0,50.0,"(8, 8)",0.8911,0.9998888888888889
0,fmnist,5000,badnet,0,50.0,"(2, 2)",0.8892,0.9996666666666667
0,fmnist,5000,badnet,0,5.0,"(8, 8)",0.8927,0.9992222222222222
0,fmnist,5000,badnet,0,100.0,"(2, 2)",0.1366,0.9867777777777778
0,fmnist,5000,badnet,0,100.0,"(8, 8)",0.388,0.9997777777777778
0,fmnist,5000,badnet,0,100.0,"(4, 4)",0.1495,0.9986666666666667
0,fmnist,8000,badnet,0,5.0,"(4, 4)",0.8944,0.9964444444444445
0,fmnist,8000,badnet,0,5.0,"(2, 2)",0.8935,0.9836666666666667
0,fmnist,8000,badnet,0,50.0,"(2, 2)",0.8924,0.9973333333333333
0,fmnist,8000,badnet,0,50.0,"(4, 4)",0.8917,1.0
0,fmnist,8000,badnet,0,50.0,"(8, 8)",0.8915,0.9997777777777778
0,fmnist,8000,badnet,0,100.0,"(2, 2)",0.2611,0.011111111111111112
0,fmnist,8000,badnet,0,100.0,"(4, 4)",0.2882,0.0
0,fmnist,8000,badnet,0,5.0,"(8, 8)",0.8944,0.9995555555555555
0,fmnist,8000,badnet,0,100.0,"(8, 8)",0.6188,0.9997777777777778
0,brats,500,badnet,0,5.0,"(2, 2)",0.7741116751269036,1.0
0,brats,1000,badnet,0,5.0,"(2, 2)",0.8045685279187818,0.9342560553633218
0,brats,2000,badnet,0,5.0,"(2, 2)",0.8071065989847716,0.7647058823529411
0,brats,500,badnet,0,5.0,"(4, 4)",0.7893401015228426,1.0
0,brats,500,badnet,0,50.0,"(2, 2)",0.7258883248730964,0.9930795847750865
