EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,fmnist,500,badnet,0,5.0,"(2, 2)",0.8678,0.9997777777777778
0,fmnist,500,badnet,0,5.0,"(4, 4)",0.8684,1.0
0,fmnist,1000,badnet,0,5.0,"(2, 2)",0.8752,0.9998888888888889
0,fmnist,1000,badnet,0,5.0,"(4, 4)",0.8754,0.9998888888888889
0,fmnist,2000,badnet,0,5.0,"(2, 2)",0.8804,1.0
0,fmnist,2000,badnet,0,5.0,"(4, 4)",0.8829,0.9994444444444445
0,fmnist,500,badnet,0,5.0,"(8, 8)",0.8685,0.9997777777777778
0,fmnist,500,badnet,0,50.0,"(8, 8)",0.8621,0.9998888888888889
0,fmnist,500,badnet,0,50.0,"(4, 4)",0.8626,1.0
0,fmnist,500,badnet,0,100.0,"(2, 2)",0.3291,0.0
0,fmnist,500,badnet,0,50.0,"(2, 2)",0.8601,1.0
0,fmnist,1000,badnet,0,5.0,"(8, 8)",0.8777,0.9998888888888889
0,fmnist,500,badnet,0,100.0,"(8, 8)",0.4677,0.0
0,fmnist,500,badnet,0,100.0,"(4, 4)",0.2589,0.0
0,fmnist,1000,badnet,0,50.0,"(8, 8)",0.8723,1.0
0,fmnist,1000,badnet,0,50.0,"(4, 4)",0.8702,1.0
0,fmnist,1000,badnet,0,50.0,"(2, 2)",0.8702,1.0
0,fmnist,1000,badnet,0,100.0,"(2, 2)",0.2752,0.0
0,fmnist,1000,badnet,0,100.0,"(8, 8)",0.5296,0.0
0,fmnist,1000,badnet,0,100.0,"(4, 4)",0.1752,0.0
0,fmnist,2000,badnet,0,5.0,"(8, 8)",0.8833,1.0
0,fmnist,2000,badnet,0,50.0,"(2, 2)",0.8808,0.9998888888888889
0,fmnist,2000,badnet,0,50.0,"(4, 4)",0.8792,1.0
0,fmnist,2000,badnet,0,50.0,"(8, 8)",0.8774,1.0
0,fmnist,5000,badnet,0,5.0,"(4, 4)",0.8911,1.0
0,fmnist,2000,badnet,0,100.0,"(2, 2)",0.1608,0.0
0,fmnist,5000,badnet,0,5.0,"(2, 2)",0.8945,0.9952222222222222
0,fmnist,2000,badnet,0,100.0,"(8, 8)",0.5683,1.0
0,fmnist,2000,badnet,0,100.0,"(4, 4)",0.1368,0.0
0,fmnist,5000,badnet,0,50.0,"(4, 4)",0.8898,0.9998888888888889
0,fmnist,5000,badnet,0,50.0,"(8, 8)",0.8911,0.9998888888888889
0,fmnist,5000,badnet,0,50.0,"(2, 2)",0.8892,0.9996666666666667
0,fmnist,5000,badnet,0,5.0,"(8, 8)",0.8927,0.9992222222222222
0,fmnist,5000,badnet,0,100.0,"(2, 2)",0.1366,0.9867777777777778
0,fmnist,5000,badnet,0,100.0,"(8, 8)",0.388,0.9997777777777778
0,fmnist,5000,badnet,0,100.0,"(4, 4)",0.1495,0.9986666666666667
0,fmnist,8000,badnet,0,5.0,"(4, 4)",0.8944,0.9964444444444445
0,fmnist,8000,badnet,0,5.0,"(2, 2)",0.8935,0.9836666666666667
0,fmnist,8000,badnet,0,50.0,"(2, 2)",0.8924,0.9973333333333333
0,fmnist,8000,badnet,0,50.0,"(4, 4)",0.8917,1.0
0,fmnist,8000,badnet,0,50.0,"(8, 8)",0.8915,0.9997777777777778
0,fmnist,8000,badnet,0,100.0,"(2, 2)",0.2611,0.011111111111111112
0,fmnist,8000,badnet,0,100.0,"(4, 4)",0.2882,0.0
0,fmnist,8000,badnet,0,5.0,"(8, 8)",0.8944,0.9995555555555555
0,fmnist,8000,badnet,0,100.0,"(8, 8)",0.6188,0.9997777777777778
