EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,wbcd,500,badnet,0,5.0,"(2, 2)",0.9824561403508771,0.5964912280701754
0,wbcd,1000,badnet,0,5.0,"(2, 2)",0.9736842105263158,0.6052631578947368
0,wbcd,2000,badnet,0,5.0,"(2, 2)",0.9736842105263158,0.5701754385964912
0,wbcd,5000,badnet,0,5.0,"(2, 2)",0.9736842105263158,0.6052631578947368
0,wbcd,8000,badnet,0,5.0,"(2, 2)",0.9736842105263158,0.631578947368421
0,wbcd,500,badnet,0,5.0,"(4, 4)",0.9824561403508771,0.5964912280701754
0,wbcd,1000,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.6052631578947368
0,wbcd,2000,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.5701754385964912
0,wbcd,5000,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.6052631578947368
0,wbcd,500,badnet,0,5.0,"(8, 8)",0.9824561403508771,0.5964912280701754
0,wbcd,1000,badnet,0,5.0,"(8, 8)",0.9736842105263158,0.6052631578947368
0,wbcd,2000,badnet,0,5.0,"(8, 8)",0.9736842105263158,0.5701754385964912
0,wbcd,5000,badnet,0,5.0,"(8, 8)",0.9736842105263158,0.6052631578947368
0,wbcd,8000,badnet,0,5.0,"(4, 4)",0.9736842105263158,0.631578947368421
0,wbcd,500,badnet,0,50.0,"(2, 2)",0.9824561403508771,0.5964912280701754
0,wbcd,1000,badnet,0,50.0,"(2, 2)",0.9824561403508771,0.5789473684210527
0,wbcd,2000,badnet,0,50.0,"(2, 2)",0.9649122807017544,0.631578947368421
0,wbcd,5000,badnet,0,50.0,"(2, 2)",0.9649122807017544,0.7017543859649122
0,wbcd,8000,badnet,0,5.0,"(8, 8)",0.9736842105263158,0.631578947368421
0,wbcd,500,badnet,0,50.0,"(4, 4)",0.9824561403508771,0.5964912280701754
0,wbcd,1000,badnet,0,50.0,"(4, 4)",0.9824561403508771,0.5789473684210527
0,wbcd,2000,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.631578947368421
0,wbcd,5000,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.7017543859649122
0,wbcd,8000,badnet,0,50.0,"(2, 2)",0.9649122807017544,0.7894736842105263
0,wbcd,500,badnet,0,50.0,"(8, 8)",0.9824561403508771,0.5964912280701754
0,wbcd,8000,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.7894736842105263
0,wbcd,1000,badnet,0,50.0,"(8, 8)",0.9824561403508771,0.5789473684210527
0,wbcd,2000,badnet,0,50.0,"(8, 8)",0.9649122807017544,0.631578947368421
0,wbcd,5000,badnet,0,50.0,"(8, 8)",0.9649122807017544,0.7017543859649122
0,wbcd,8000,badnet,0,50.0,"(8, 8)",0.9649122807017544,0.7894736842105263
0,wbcd,500,badnet,0,100.0,"(2, 2)",0.9824561403508771,0.41228070175438597
0,wbcd,500,badnet,0,100.0,"(4, 4)",0.9824561403508771,0.41228070175438597
0,wbcd,500,badnet,0,100.0,"(8, 8)",0.9824561403508771,0.41228070175438597
0,wbcd,1000,badnet,0,100.0,"(2, 2)",0.9824561403508771,0.5087719298245614
0,wbcd,1000,badnet,0,100.0,"(4, 4)",0.9824561403508771,0.5087719298245614
0,wbcd,1000,badnet,0,100.0,"(8, 8)",0.9824561403508771,0.5087719298245614
0,wbcd,2000,badnet,0,100.0,"(2, 2)",0.9649122807017544,0.6052631578947368
0,wbcd,2000,badnet,0,100.0,"(4, 4)",0.9649122807017544,0.6052631578947368
0,wbcd,2000,badnet,0,100.0,"(8, 8)",0.9649122807017544,0.6052631578947368
0,wbcd,5000,badnet,0,100.0,"(2, 2)",0.9649122807017544,0.7105263157894737
0,wbcd,5000,badnet,0,100.0,"(4, 4)",0.9649122807017544,0.7105263157894737
0,wbcd,5000,badnet,0,100.0,"(8, 8)",0.9649122807017544,0.7105263157894737
0,wbcd,8000,badnet,0,100.0,"(2, 2)",0.9649122807017544,0.7982456140350878
0,wbcd,8000,badnet,0,100.0,"(8, 8)",0.9649122807017544,0.7982456140350878
0,wbcd,8000,badnet,0,100.0,"(4, 4)",0.9649122807017544,0.7982456140350878
