EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,embeded_elm,fmnist,500,0.1,badnet,0,50.0,"(2, 2)",0.8514,1.0,5.391788721084595
0,embeded_elm,fmnist,1000,0.1,badnet,0,50.0,"(2, 2)",0.8663,1.0,10.263003587722778
0,embeded_elm,fmnist,500,0.3,badnet,0,50.0,"(2, 2)",0.811,0.9997777777777778,4.072202920913696
0,embeded_elm,fmnist,500,0.5,badnet,0,50.0,"(2, 2)",0.7458,0.9985555555555555,4.64142918586731
0,embeded_elm,fmnist,1000,0.3,badnet,0,50.0,"(2, 2)",0.5644,0.9996666666666667,10.94842791557312
0,embeded_elm,fmnist,1000,0.5,badnet,0,50.0,"(2, 2)",0.5853,1.0,9.811933279037476
0,embeded_elm,fmnist,2000,0.1,badnet,0,50.0,"(2, 2)",0.8748,0.9998888888888889,31.824880123138428
0,embeded_elm,fmnist,500,0.1,badnet,0,50.0,"(4, 4)",0.8489,1.0,5.259494066238403
0,embeded_elm,fmnist,2000,0.5,badnet,0,50.0,"(2, 2)",0.752,0.9993333333333333,20.659277200698853
0,embeded_elm,fmnist,2000,0.3,badnet,0,50.0,"(2, 2)",0.8623,0.9996666666666667,25.840265035629272
0,embeded_elm,fmnist,1000,0.1,badnet,0,50.0,"(4, 4)",0.8659,1.0,9.915979623794556
0,embeded_elm,fmnist,500,0.3,badnet,0,50.0,"(4, 4)",0.8148,0.9998888888888889,10.133715629577637
0,embeded_elm,fmnist,2000,0.1,badnet,0,50.0,"(4, 4)",0.8758,1.0,24.80335021018982
0,embeded_elm,fmnist,5000,0.1,badnet,0,50.0,"(2, 2)",0.8852,0.9998888888888889,113.9742214679718
0,embeded_elm,fmnist,1000,0.3,badnet,0,50.0,"(4, 4)",0.8214,0.9996666666666667,20.993237733840942
0,embeded_elm,fmnist,5000,0.5,badnet,0,50.0,"(2, 2)",0.6683,0.9987777777777778,110.45056200027466
0,embeded_elm,fmnist,5000,0.3,badnet,0,50.0,"(2, 2)",0.8649,0.9945555555555555,113.54883098602295
0,embeded_elm,fmnist,2000,0.3,badnet,0,50.0,"(4, 4)",0.8459,0.9998888888888889,28.062429189682007
0,embeded_elm,fmnist,5000,0.1,badnet,0,50.0,"(4, 4)",0.8816,0.9998888888888889,118.42940092086792
0,embeded_elm,fmnist,500,0.5,badnet,0,50.0,"(4, 4)",0.7397,0.9978888888888889,6.615941286087036
0,embeded_elm,fmnist,5000,0.3,badnet,0,50.0,"(4, 4)",0.8621,0.9998888888888889,207.67169904708862
0,embeded_elm,fmnist,1000,0.5,badnet,0,50.0,"(4, 4)",0.7204,1.0,10.196923971176147
