EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,embeded_elm,wbcd,500,0.1,badnet,0,50.0,"(2, 2)",0.9649122807017544,0.5263157894736842,0.09226417541503906
0,embeded_elm,wbcd,1000,0.1,badnet,0,50.0,"(2, 2)",0.7807017543859649,0.20175438596491227,0.34595227241516113
0,embeded_elm,wbcd,2000,0.1,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,4.04986310005188
0,embeded_elm,wbcd,500,0.3,badnet,0,50.0,"(2, 2)",0.4298245614035088,0.0,0.1483151912689209
0,embeded_elm,wbcd,1000,0.3,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,0.5272397994995117
0,embeded_elm,wbcd,2000,0.3,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,4.049465179443359
0,embeded_elm,wbcd,500,0.5,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,0.09760046005249023
0,embeded_elm,wbcd,1000,0.5,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,0.33272552490234375
0,embeded_elm,wbcd,2000,0.5,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,3.415658712387085
0,embeded_elm,wbcd,5000,0.1,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,61.35684823989868
0,embeded_elm,wbcd,5000,0.3,badnet,0,50.0,"(2, 2)",0.42105263157894735,0.0,77.95720052719116
0,embeded_elm,wbcd,5000,0.5,badnet,0,50.0,"(2, 2)",0.9736842105263158,0.7368421052631579,55.388591051101685
0,embeded_elm,wbcd,500,0.1,badnet,0,50.0,"(4, 4)",0.9649122807017544,0.5263157894736842,0.11955118179321289
0,embeded_elm,wbcd,1000,0.1,badnet,0,50.0,"(4, 4)",0.7807017543859649,0.20175438596491227,0.44405317306518555
0,embeded_elm,wbcd,2000,0.1,badnet,0,50.0,"(4, 4)",0.42105263157894735,0.0,4.263469219207764
