EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,drop-elm,brats,500,0.1,badnet,0,0.5,"(2, 2)",0.6395939086294417,0.4671280276816609,11.328402519226074
0,drop-elm,brats,500,0.3,badnet,0,0.5,"(2, 2)",0.6903553299492385,0.30103806228373703,9.576018571853638
0,drop-elm,brats,500,0.5,badnet,0,0.5,"(2, 2)",0.7182741116751269,0.10034602076124567,13.107380390167236
0,drop-elm,brats,1000,0.1,badnet,0,0.5,"(2, 2)",0.7588832487309645,0.4290657439446367,25.847887754440308
0,drop-elm,brats,500,0.3,badnet,0,0.5,"(4, 4)",0.6903553299492385,0.5501730103806228,13.465028285980225
0,drop-elm,brats,500,0.1,badnet,0,0.5,"(4, 4)",0.6395939086294417,0.5916955017301038,15.16110348701477
0,drop-elm,brats,1000,0.3,badnet,0,0.5,"(2, 2)",0.733502538071066,0.30103806228373703,23.883371829986572
0,drop-elm,brats,1000,0.3,badnet,0,0.5,"(4, 4)",0.733502538071066,0.8131487889273357,22.62924098968506
0,drop-elm,brats,1000,0.1,badnet,0,0.5,"(4, 4)",0.7588832487309645,0.8339100346020761,24.66297745704651
0,drop-elm,brats,500,0.5,badnet,0,0.5,"(4, 4)",0.7182741116751269,0.1972318339100346,10.056373596191406
0,drop-elm,brats,1000,0.5,badnet,0,0.5,"(2, 2)",0.6751269035532995,0.20069204152249134,39.2322723865509
0,drop-elm,brats,500,0.1,badnet,0,0.5,"(8, 8)",0.6395939086294417,0.2837370242214533,9.763301849365234
0,drop-elm,brats,2000,0.1,badnet,0,0.5,"(2, 2)",0.7893401015228426,0.34256055363321797,57.1213743686676
0,drop-elm,brats,2000,0.3,badnet,0,0.5,"(2, 2)",0.7893401015228426,0.1453287197231834,53.49292016029358
0,drop-elm,brats,1000,0.5,badnet,0,0.5,"(4, 4)",0.6751269035532995,0.7474048442906575,20.531778573989868
0,drop-elm,brats,1000,0.1,badnet,0,0.5,"(8, 8)",0.7588832487309645,0.8131487889273357,22.527522563934326
0,drop-elm,brats,2000,0.3,badnet,0,0.5,"(4, 4)",0.7893401015228426,0.328719723183391,43.84643745422363
0,drop-elm,brats,2000,0.1,badnet,0,0.5,"(4, 4)",0.7893401015228426,0.3633217993079585,47.59400415420532
0,drop-elm,brats,2000,0.5,badnet,0,0.5,"(2, 2)",0.6243654822335025,0.532871972318339,42.63315153121948
0,drop-elm,brats,500,0.3,badnet,0,0.5,"(8, 8)",0.6903553299492385,0.09688581314878893,11.800446271896362
0,drop-elm,brats,2000,0.5,badnet,0,0.5,"(4, 4)",0.6243654822335025,0.615916955017301,41.86952805519104
0,drop-elm,brats,500,0.5,badnet,0,0.5,"(8, 8)",0.7182741116751269,0.020761245674740483,10.703402757644653
0,drop-elm,brats,2000,0.1,badnet,0,0.5,"(8, 8)",0.7893401015228426,0.6955017301038062,51.84673285484314
0,drop-elm,brats,1000,0.3,badnet,0,0.5,"(8, 8)",0.733502538071066,0.7785467128027682,22.528230667114258
0,drop-elm,brats,1000,0.5,badnet,0,0.5,"(8, 8)",0.6751269035532995,0.754325259515571,22.201850652694702
0,drop-elm,brats,5000,0.3,badnet,0,0.5,"(2, 2)",0.748730964467005,0.2629757785467128,190.8661093711853
0,drop-elm,brats,2000,0.3,badnet,0,0.5,"(8, 8)",0.7893401015228426,0.643598615916955,52.83593225479126
0,drop-elm,brats,2000,0.5,badnet,0,0.5,"(8, 8)",0.6243654822335025,0.8131487889273357,47.40264129638672
