EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,embeded_elm,mnist,500,0.5,badnet,0,1.0,"(4, 4)",0.6931,0.3539911308203991,10.30135202407837
0,embeded_elm,mnist,500,0.5,badnet,0,1.0,"(2, 2)",0.4827,0.4639689578713969,10.49389123916626
0,embeded_elm,mnist,500,0.1,badnet,0,0.5,"(4, 4)",0.9643,0.9958980044345898,10.652084827423096
0,embeded_elm,mnist,500,0.1,badnet,0,0.5,"(8, 8)",0.9636,0.9939024390243902,10.458966255187988
0,embeded_elm,mnist,500,0.3,badnet,0,1.0,"(4, 4)",0.7203,0.8666297117516629,10.889374494552612
0,embeded_elm,mnist,500,0.1,badnet,0,1.0,"(4, 4)",0.9656,0.9980044345898005,10.621057987213135
0,embeded_elm,mnist,500,0.1,badnet,0,1.0,"(2, 2)",0.969,0.9937915742793791,10.840807437896729
0,embeded_elm,mnist,500,0.3,badnet,0,1.0,"(2, 2)",0.8175,0.938470066518847,10.822798728942871
0,embeded_elm,mnist,500,0.5,badnet,0,0.5,"(8, 8)",0.6546,0.6644124168514413,10.64040994644165
0,embeded_elm,mnist,500,0.3,badnet,0,0.5,"(8, 8)",0.6644,0.9799334811529934,11.076671123504639
0,embeded_elm,mnist,500,0.5,badnet,0,0.5,"(4, 4)",0.4893,0.3007760532150776,11.481097221374512
0,embeded_elm,mnist,500,0.3,badnet,0,0.5,"(4, 4)",0.683,0.9606430155210643,11.703644275665283
0,embeded_elm,mnist,500,0.5,badnet,0,0.5,"(2, 2)",0.6621,0.7195121951219512,11.528659343719482
0,embeded_elm,mnist,500,0.3,badnet,0,0.5,"(2, 2)",0.6931,0.9323725055432373,11.525090217590332
0,embeded_elm,mnist,500,0.1,badnet,0,0.5,"(2, 2)",0.9583,0.9891352549889135,11.513337850570679
