EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,drop-elm,wbcd,500,0.1,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.6754385964912281,0.0839536190032959
0,drop-elm,wbcd,500,0.5,badnet,0,5.0,"(2, 2)",0.9385964912280702,0.4298245614035088,0.08481788635253906
0,drop-elm,wbcd,500,0.1,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.6754385964912281,0.09000349044799805
0,drop-elm,wbcd,500,0.3,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.6578947368421053,0.11983966827392578
0,drop-elm,wbcd,500,0.5,badnet,0,5.0,"(4, 4)",0.9385964912280702,0.4298245614035088,0.09241795539855957
0,drop-elm,wbcd,500,0.3,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.6578947368421053,0.11165523529052734
0,drop-elm,wbcd,1000,0.5,badnet,0,5.0,"(2, 2)",0.5526315789473685,0.03508771929824561,0.32729554176330566
0,drop-elm,wbcd,1000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.7368421052631579,0.3306150436401367
0,drop-elm,wbcd,1000,0.5,badnet,0,5.0,"(4, 4)",0.5526315789473685,0.03508771929824561,0.3462204933166504
0,drop-elm,wbcd,1000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.7368421052631579,0.35127711296081543
0,drop-elm,wbcd,1000,0.3,badnet,0,5.0,"(2, 2)",0.9912280701754386,0.6228070175438597,0.4379551410675049
0,drop-elm,wbcd,1000,0.3,badnet,0,5.0,"(4, 4)",0.9912280701754386,0.6228070175438597,0.5021860599517822
0,drop-elm,wbcd,2000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.008771929824561403,5.345789670944214
0,drop-elm,wbcd,2000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.7017543859649122,5.483052015304565
0,drop-elm,wbcd,2000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.008771929824561403,5.625273704528809
0,drop-elm,wbcd,2000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.7017543859649122,5.731326341629028
0,drop-elm,wbcd,2000,0.3,badnet,0,5.0,"(2, 2)",0.9912280701754386,0.6666666666666666,5.788893938064575
0,drop-elm,wbcd,2000,0.3,badnet,0,5.0,"(4, 4)",0.9912280701754386,0.6666666666666666,5.626962184906006
0,drop-elm,wbcd,5000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,111.10685563087463
0,drop-elm,wbcd,5000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,111.88981652259827
0,drop-elm,wbcd,5000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.07017543859649122,112.6593930721283
0,drop-elm,wbcd,5000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.07017543859649122,112.59691643714905
0,drop-elm,wbcd,5000,0.3,badnet,0,5.0,"(2, 2)",0.9912280701754386,0.47368421052631576,114.75252556800842
0,drop-elm,wbcd,5000,0.3,badnet,0,5.0,"(4, 4)",0.9912280701754386,0.47368421052631576,116.52876734733582
0,drop-elm,wbcd,8000,0.5,badnet,0,5.0,"(4, 4)",0.4473684210526316,0.0,442.2055823802948
0,drop-elm,wbcd,8000,0.1,badnet,0,5.0,"(4, 4)",0.956140350877193,0.14912280701754385,445.30223846435547
0,drop-elm,wbcd,500,0.1,badnet,0,5.0,"(8, 8)",0.9649122807017544,0.6754385964912281,0.10771417617797852
0,drop-elm,wbcd,8000,0.1,badnet,0,5.0,"(2, 2)",0.956140350877193,0.14912280701754385,447.5660843849182
0,drop-elm,wbcd,8000,0.5,badnet,0,5.0,"(2, 2)",0.4473684210526316,0.0,452.05382084846497
0,drop-elm,wbcd,500,0.3,badnet,0,5.0,"(8, 8)",0.9649122807017544,0.6578947368421053,0.09698939323425293
0,drop-elm,wbcd,1000,0.1,badnet,0,5.0,"(8, 8)",0.956140350877193,0.7368421052631579,0.3675518035888672
0,drop-elm,wbcd,500,0.5,badnet,0,5.0,"(8, 8)",0.9385964912280702,0.4298245614035088,0.09871387481689453
0,drop-elm,wbcd,8000,0.3,badnet,0,5.0,"(2, 2)",0.9649122807017544,0.543859649122807,450.77349185943604
