EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,embeded_elm,wbcd,500,0.1,badnet,0,5.0,"(4, 4)",0.9649122807017544,0.5087719298245614,0.08114337921142578
0,embeded_elm,wbcd,500,0.5,badnet,0,0.5,"(4, 4)",0.42105263157894735,0.0,0.08140397071838379
0,embeded_elm,wbcd,500,0.5,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,0.08098006248474121
0,embeded_elm,wbcd,500,0.5,badnet,0,2.0,"(4, 4)",0.42105263157894735,0.0,0.0838766098022461
0,embeded_elm,wbcd,500,0.1,badnet,0,1.0,"(4, 4)",0.9473684210526315,0.14035087719298245,0.08385872840881348
0,embeded_elm,wbcd,500,0.1,badnet,0,2.0,"(4, 4)",0.9649122807017544,0.2894736842105263,0.08535027503967285
0,embeded_elm,wbcd,500,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.08530688285827637
0,embeded_elm,wbcd,500,0.3,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,0.1060035228729248
0,embeded_elm,wbcd,500,0.3,badnet,0,2.0,"(4, 4)",0.42105263157894735,0.0,0.11642932891845703
0,embeded_elm,wbcd,500,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.10466957092285156
0,embeded_elm,wbcd,500,0.1,badnet,0,0.5,"(4, 4)",0.9473684210526315,0.13157894736842105,0.08549642562866211
0,embeded_elm,wbcd,500,0.3,badnet,0,0.5,"(4, 4)",0.42105263157894735,0.0,0.10352969169616699
0,embeded_elm,wbcd,1000,0.5,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,0.3109111785888672
0,embeded_elm,wbcd,1000,0.5,badnet,0,0.5,"(4, 4)",0.42105263157894735,0.0,0.31886887550354004
0,embeded_elm,wbcd,1000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.32051944732666016
0,embeded_elm,wbcd,1000,0.5,badnet,0,2.0,"(4, 4)",0.42105263157894735,0.0,0.3243582248687744
0,embeded_elm,wbcd,1000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.3290104866027832
0,embeded_elm,wbcd,1000,0.1,badnet,0,2.0,"(4, 4)",0.4298245614035088,0.0,0.33171582221984863
0,embeded_elm,wbcd,1000,0.1,badnet,0,1.0,"(4, 4)",0.4473684210526316,0.0,0.32837510108947754
0,embeded_elm,wbcd,1000,0.1,badnet,0,0.5,"(4, 4)",0.4298245614035088,0.0,0.3338289260864258
0,embeded_elm,wbcd,1000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,0.39885497093200684
0,embeded_elm,wbcd,1000,0.3,badnet,0,2.0,"(4, 4)",0.42105263157894735,0.0,0.5029292106628418
0,embeded_elm,wbcd,1000,0.3,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,0.43606042861938477
0,embeded_elm,wbcd,1000,0.3,badnet,0,0.5,"(4, 4)",0.42105263157894735,0.0,0.42719507217407227
0,embeded_elm,wbcd,2000,0.5,badnet,0,0.5,"(4, 4)",0.42105263157894735,0.0,4.5631263256073
0,embeded_elm,wbcd,2000,0.5,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,4.692509889602661
0,embeded_elm,wbcd,2000,0.5,badnet,0,2.0,"(4, 4)",0.42105263157894735,0.0,4.918179988861084
0,embeded_elm,wbcd,2000,0.1,badnet,0,2.0,"(4, 4)",0.42105263157894735,0.0,5.105312824249268
0,embeded_elm,wbcd,2000,0.1,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,5.058068513870239
0,embeded_elm,wbcd,2000,0.1,badnet,0,0.5,"(4, 4)",0.42105263157894735,0.0,5.167684316635132
0,embeded_elm,wbcd,2000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,5.431434631347656
0,embeded_elm,wbcd,2000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,5.506152153015137
0,embeded_elm,wbcd,2000,0.3,badnet,0,1.0,"(4, 4)",0.42105263157894735,0.0,5.014183282852173
