EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,mlelm,wbcd,500,0.1,badnet,0,5.0,"(2, 2)",0.5789473684210527,0.9824561403508771,0.17587900161743164
0,mlelm,wbcd,500,0.5,badnet,0,5.0,"(2, 2)",0.5789473684210527,1.0,0.169968843460083
0,mlelm,wbcd,500,0.3,badnet,0,5.0,"(2, 2)",0.8508771929824561,0.5175438596491229,0.1793820858001709
0,mlelm,wbcd,1000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,0.701016902923584
0,mlelm,wbcd,500,0.1,badnet,0,5.0,"(4, 4)",0.5789473684210527,0.9824561403508771,0.2203812599182129
0,mlelm,wbcd,1000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,0.7030763626098633
0,mlelm,wbcd,1000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,0.7283008098602295
0,mlelm,wbcd,1000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,1.005868911743164
0,mlelm,wbcd,2000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,6.826429605484009
0,mlelm,wbcd,500,0.3,badnet,0,5.0,"(4, 4)",0.8508771929824561,0.5175438596491229,0.369945764541626
0,mlelm,wbcd,2000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,7.171730279922485
0,mlelm,wbcd,2000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,6.387486457824707
0,mlelm,wbcd,1000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,1.4074907302856445
0,mlelm,wbcd,500,0.5,badnet,0,5.0,"(4, 4)",0.5789473684210527,1.0,0.6609292030334473
0,mlelm,wbcd,2000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,9.649182319641113
0,mlelm,wbcd,500,0.1,badnet,0,5.0,"(8, 8)",0.5789473684210527,0.9824561403508771,0.17439007759094238
0,mlelm,wbcd,500,0.3,badnet,0,5.0,"(8, 8)",0.8508771929824561,0.5175438596491229,0.16287493705749512
0,mlelm,wbcd,500,0.5,badnet,0,5.0,"(8, 8)",0.5789473684210527,1.0,0.16212201118469238
0,mlelm,wbcd,1000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,2.9806127548217773
0,mlelm,wbcd,1000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,0.6483798027038574
0,mlelm,wbcd,1000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,0.6647579669952393
0,mlelm,wbcd,1000,0.5,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,0.6313705444335938
0,mlelm,wbcd,2000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,6.796053171157837
0,mlelm,wbcd,2000,0.5,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,5.430211067199707
0,mlelm,wbcd,2000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,6.615844488143921
0,mlelm,wbcd,2000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,19.49600601196289
0,mlelm,wbcd,2000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,21.540332555770874
0,mlelm,wbcd,5000,0.5,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,99.91033673286438
0,mlelm,wbcd,5000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,153.93335151672363
0,mlelm,wbcd,5000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,154.6903007030487
0,mlelm,wbcd,5000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,196.11587476730347
0,mlelm,wbcd,5000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,205.48463988304138
0,mlelm,wbcd,5000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,211.96906328201294
0,mlelm,wbcd,5000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,232.2663369178772
0,mlelm,wbcd,5000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,261.5883400440216
0,mlelm,wbcd,5000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,291.6627447605133
0,mlelm,wbcd,8000,0.5,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,399.0337085723877
0,mlelm,wbcd,8000,0.1,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,587.927817106247
0,mlelm,wbcd,8000,0.3,badnet,0,5.0,"(8, 8)",0.42105263157894735,0.0,588.6906952857971
0,mlelm,wbcd,8000,0.5,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,426.6209785938263
0,mlelm,wbcd,8000,0.3,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,644.5987257957458
0,mlelm,wbcd,8000,0.3,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,576.14732837677
0,mlelm,wbcd,8000,0.1,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,767.8901715278625
0,mlelm,wbcd,8000,0.5,badnet,0,5.0,"(2, 2)",0.42105263157894735,0.0,773.7601518630981
0,mlelm,wbcd,8000,0.1,badnet,0,5.0,"(4, 4)",0.42105263157894735,0.0,740.7170057296753
